moisture,protein,fat,ash,crude_fiber,total_carbohydrates,dietary_fiber,sugars,FRAP
9.4,9.33,5.195398941,1.44,4.256683176,58.7,17.214,9.704494118,27.81
10.1,6.65,3.764022471,1.52,3.847745765,64.18,14.0244,12.79861176,13.32
11.39,12.369956,5.028300588,2.995018,1.7722,66.590415,12.157292,7.983335294,16.86
10.78,13.534674,3.259478824,3.140544,2.739054,64.657734,12.588942,7.983335294,10.57
12.03,13.608959,3.990149412,4.803162,2.973386,60.558548,14.066403,7.188247059,38.42
12.62,12.696314,3.964307647,2.656352,1.677696,66.251516,11.848728,7.633211765,26.39
10.8,11.5068,4.221641882,2.676,4.743886941,56.8204,12.3988,7.202752941,23.5
8.2,14.8,5.3,2.6,5.497376588,57.19200753,8.8,7.507623529,13.76
13.07,9.29,6.63,3.06,1.49,65.54893802,7.324353431,13.04978824,16.2
12.06,12.6,5.22,6.63,4.37,58.97597331,11.58942147,6.234582353,35.27
12.42,9.08,5.37,7.69,5.21,64.66202822,7.627073431,9.662652941,22.13
12.14,13.25,5.12,4.31,2.44,60.48420861,10.27020578,6.559458824,27.95
10.93,10.23,5.99,2.27,1.71,68.25952625,7.494661667,8.584164706,16.51
9.95,12.49,6.77,3.09,1.04,60.52599684,10.1574999,5.990047059,22.84
12.47,12.54,6,2.92,2.65,62.23658508,8.816589314,6.376517647,38.25
9,15.7,5.7,3.1,5.126226706,58.56947424,10.3,6.961523529,22.79
10.13,13.18,4.197457647,2.34,4.23,63.6,12.47778696,6.278282353,27.65
11.51,13.48,4.275325882,2.27,7.04,59.4,12.42295618,6.278282353,21.84
12.3,7.62113,2.12234,1.20149,4.473801647,74.30125882,0.69283,19.24741176,23.86
12.4,7.95408,2.31264,1.06872,4.299684,73.75307059,0.67452,16.30062353,19.21
11.2,7.29048,0.51504,0.83472,4.630748706,73.75307059,0.34632,16.51131765,18.57
11.6,7.71732,0.54808,0.74256,4.473801647,73.75307059,0.34476,16.51131765,20.95
11.18,6.252928,2.08727,1.190188,0.781616,72.94409255,4.583068431,19.31564706,16.65
11.08,6.962436,2.054052,1.164852,0.764712,72.15627049,4.583068431,16.57955294,20.23
11,8.3,1.04,0.8,3.935301412,72.91269314,6.6,14.18013529,24.85
11.5,8.5,0.82,0.8,3.935301412,71.66975196,6.8,13.52335294,35.13
13.1,8.27288,2.15512,1.23398,0.45188,71.32105084,6.094469608,19.73349412,25.24
13,6.9339,2.262,1.3398,0.3741,71.7051832,4.799997843,19.32415294,23.28
13.6,6.8688,1.77984,1.09728,0.45792,71.21987437,4.767640667,22.49792941,5.2
8.44,7.38,2.41,1.33,2.728854588,79.62,0.83,14.20552353,22.28
9.39,8.21,2.42,1.43,2.728854588,77.52,1.05,14.20552353,14.2
9.05,6.87,2.46,1.23,2.728854588,79.46,0.94,14.18013529,12.44
7.77,6.73,2.7,1.21,2.728854588,80.53,1.06,14.59737647,6.56
7.79,7.1,2.42,1.32,2.728854588,80.44,0.94,14.59737647,21.54
8.66,6.97,2.35,1.3,2.728854588,79.73,0.98,14.20552353,14.57
9.51,12,1.09,1.11,3.246654588,75.04,1.24,8.751341176,12.29
9.62,13.48,1.06,1.36,4.654840706,72.61,1.87,8.4046,18.27
9.43,15.15,1.23,1.45,5.687801294,71.16,1.58,8.400576471,38.7
9.34,12.57,0.94,1.3,3.443713412,73.92,1.93,8.4046,26.46
9.64,12.96,1.02,1.27,3.884588706,73.25,1.86,8.4046,24.78
9.12,13.03,0.94,1.47,4.197124,74.29,1.15,8.400576471,14.35
9.24,13.24,0.72,1.31,4.589381882,74.25,1.24,8.741435294,21.22
12.36666667,9.46,4.063634235,1.906666667,2.681915529,62.81333333,11.30333333,13.08985882,19.42
40.5,16.5,9.2,2.7,6.5,24.6,12.0067481,39.80470588,36.71
72.5,6.4,2.9,1.3,3.3,13.6,5.165105882,15.41357059,12.11
7.3,28.27,26.8,4.58,6.2,26.85,14.84842353,3.364705882,42.69
12.76,28.257036,2.608476,3.123192,7.424124,50.73644706,14.91805361,5.832595882,34.82
11.09,26.086194,1.493688,3.503054,7.948554,49.69308535,13.48794282,5.142595882,47.03
10.57,23.681064,1.958517,3.630858,4.310526,53.54262941,14.12303602,7.890978235,32.99
11.27,22.528547,2.830487,2.732884,4.312278,54.73260194,14.09268888,8.643927882,18.69
10.5,24.6125,2.67605,2.80135,5.1373,51.67917241,13.48794282,5.174854706,35.29
11.75,21.4271,2.762225,2.691625,2.762225,55.93159918,15.873569,7.662769059,27.35
11.43,19.122263,3.967936,4.295645,4.109648,58.21695471,19.19299292,5.881788235,38.2
9.68,27.3218,2.854112,3.152168,3.766344,54.01422118,13.226034,5.375305882,23.43
9.94,20.902926,6.25917,4.692126,7.096728,49.271826,17.84284435,3.764705882,30.35
6.7,18.8466,5.8779,3.3588,5.167376588,57.0996,17.74420783,4.342094118,24.68
8.5,26.8095,5.856,3.843,5.861742706,45.6585,16.02279335,4.631184118,43.83
7.9,24.7749,6.8154,3.0393,6.893470471,47.7999,16.29028406,2.984217647,33.04
7.1,24.8043,6.8746,5.1095,6.920723412,46.5429,16.54753241,3.007747059,29.6
8.97,21.28,0.87,3.42,3.72,61.74,19.0554204,8.564170588,31.48
8.58,20.24,0.95,3.76,3.03,63.44,19.16808836,8.109605882,24.58
8.47,19.6,0.96,3.74,4.09,63.14,19.62691189,7.192264706,28.03
7.5,8.75,11.5,2.2,4.061902118,67.2,12.15289696,8.583647059,14.82
7.4,26.5,9.6,2,5.870944882,46.9,17.54631282,2.772452941,29.95
7.6,10,13,2.3,4.694843294,64.4,16.11952343,4.812241176,27.04
9.6,24.6,7.2,2,5.967550647,46.2,16.96892606,2.898670588,35.18
5.44,20.216928,1.059072,3.820224,5.941865647,60.69089747,17.0318932,7.847688235,30.73
1.67,16.952092,1.071797,4.670675,5.469126118,55.47506882,23.20313618,5.789441176,19.89
4.02,22.12339,0.950202,3.781612,4.232322353,54.57939224,13.17410565,5.241423529,37.59
2.19,17.097188,0.909633,4.372107,5.589590824,58.27577841,16.96149995,5.890029412,44.85
5.54,21.82026,1.03906,3.806738,5.438628235,59.84550835,17.1728089,6.060235294,30.88
5.64,21.495208,0.688828,4.491536,5.523557647,60.1291,16.48234512,7.205923529,24.21
5.36,20.77348,0.766584,4.30612,6.376149529,57.04963253,13.69174312,7.423,30.78
5.31,21.267374,0.909024,4.412554,5.363996588,60.040626,17.51535541,7.2471,34.81
6.77,19.531685,0.978915,4.074151,4.208122,62.28931735,16.41300253,8.252982353,14.9
2.22,18.13819,0.88002,4.25343,5.777678941,55.24889071,22.09176791,6.237458824,19.73
2.57,22.155582,1.149674,3.721826,3.561734118,56.16045294,18.92993321,4.224370588,39.27
2.53,20.712375,1.120905,3.947535,4.355851765,55.45162941,22.40281639,6.082417647,43.44
7.94,20.326848,0.708862,4.133494,4.122880824,62.12709971,17.14470221,8.305923529,18.64
2.4,22.36016,1.00528,4.51888,3.589687059,56.02058235,20.6501364,4.768452941,21.55
9.6,23,1.9,2.1,4.744478765,47.6,13.7,2.7,33.64
8.9,19.9,6.7,2.6,7.262585824,46.1,13.5,3.3,38.37
8.3,19.7,5.5,2.6,6.774184176,41.4,20.8,2.2,27.17
11.8,25.3,1.7,2.3,5.539179471,42.1,14.6,1.5,31.55
10.3,24.5,2,3.5,5.141255,43.2,13.7,2.1,23.2
9.4,25.61,2.149718235,2.14,4.061534941,53.61322412,17.7,1.5,38.12
9.47,23.94,2.371405294,2.04,3.842013529,55.26680294,15.6,1.5,18.04
8.89,25.38,2.575861176,2.29,4.098888824,53.71814765,18,1.5,18.92
9.08,25.18,2.372251176,2.01,4.011044118,54.64514176,16.8,1.4,24.37
9.05,25.29,2.372251176,1.76,4.086371176,54.64514176,16.9,1.2,19.21
8.99,25.09,2.575861176,2.21,4.011044118,54.96220059,21,1.4,26.48
9.53,18.44,2.919339824,2.26,4.731412529,59.76530447,26,2.9,14.05
10.36,18.66,3.327475353,1.8,5.527161235,58.11859812,20.4,2.2,24.37
6.68,20.79,2.907009471,1.46,4.279484118,59.25765459,21.5,1.7,25.1
7.61,21.54,3.068926941,1.17,4.499988824,56.74072647,12.6,2.8,9.73
10.37980392,22.0158,0.93318,3.18006,7.00338,57.4404,20.19281933,7.664543118,21.23
9.2,18.16,1.19856,2.91468,3.8136,64.7404,19.81093368,7.096788235,33.52
9.7,19.9563,1.10166,2.95281,4.6956,61.5846,20.91193128,7.298735294,22.48
8.7,20.8164,1.19603,2.54727,3.8346,62.9057,19.45002374,7.312123529,19.38
8.7,17.4383,1.13212,2.84856,4.1998,65.6447,18.08805587,6.935670588,19.19
8.3,20.9993,1.12791,2.82436,4.9518,61.8058,18.88573542,7.312123529,17.6
9.7,18.7824,1.36353,3.29595,3.7023,63.1197,21.15655314,7.096788235,23.15
8.8,16.3248,1.05792,3.07344,4.0128,66.8496,16.49360156,6.8492,20.46
8.9,20.6797,1.23896,3.05185,4.2817,61.8569,19.33777334,8.752676471,28.96
8,18.032,1.3616,3.7536,4.784,64.124,19.47520689,6.936223529,25.91
9.5,19.0955,1.4842,2.61545,4.0725,63.2595,20.18585285,7.360282353,23.85
7.88,20.78,1.54,4.06,1.48,64.26,18.74303575,7.395923529,21.93
8.92,22.34,2.08,4.23,1.88,60.55,18.81884513,8.272537882,26.11
7.81,27.22,1.36,4,1.42,58.19,16.26593655,6.233047059,32.58
9.94,21.66,0.63,4.09,1.39,62.29,21.08083863,8.846949647,31.56
9.39,23.83,1.5,3.85,1.29,60.14,18.59235354,6.925417647,25.35
9.328823529,28.0462,1.876,3.6582,3.4706,56.749,16.29002856,6.338835294,40.12
15.06882353,30.2203,1.4608,2.0999,3.0129,54.5061,13.664443,6.338835294,34.02
9.422352941,24.881,1.7005,2.7745,3.222,57.0115,17.59030911,6.118182353,20.78
9.435294118,28.0275,2.035,2.8675,3.2375,56.3325,16.29002856,6.163541176,32.67
9.450588235,23.3748,1.5402,2.9898,2.718,59.9772,18.62696635,9.327249647,31.5
9.614705882,25.665,1.8585,2.7435,1.77,56.463,16.86881656,6.181123529,39.82
10.40941176,23.706,1.756,3.1608,3.4242,55.8408,17.57843946,7.837658824,33.32
9.300392157,22.9941,1.762,2.9954,2.5549,57.7936,18.9795875,9.299184941,32.18
9.41,25.3851,1.794,3.8571,1.8837,57.0492,17.99918529,6.118182353,28.74
9.438627451,23.161,2.0976,2.622,1.4858,57.9462,18.39859311,8.959773176,20.01
10.06058824,24.9606,1.323,3.969,3.1752,54.7722,16.14454673,6.118182353,33.13
10.14882353,25.6082,1.4858,4.2826,2.7968,53.2266,15.58609741,6.118182353,29.54
9.184705882,26.2735,1.2155,3.8335,3.2725,58.9985,17.99918529,6.260717647,32.88
11.09117647,27.4122,1.3095,4.6269,2.9682,51.0705,13.73919379,6.687776471,37.82
9.549215686,23.6016,1.6986,4.6488,2.7714,56.769,18.30711456,7.893637882,43.08
10.29764706,23.8656,1.8984,3.2544,2.8928,58.4888,17.99918529,7.387694118,31.84
9.566470588,24.728,1.672,3.256,2.992,55.528,16.86881656,6.118182353,41.31
9.52,24.66,1.8,3.15,2.7,57.15,17.99918529,6.118182353,44.54
9.411372549,22.1154,1.6182,3.9556,2.4273,59.6936,20.11234245,7.870025471,11.86
10.33823529,23.9766,1.7062,3.6818,3.5022,57.023,18.45480949,7.274988235,34.04
7.99,18.254784,3.183546,3.109938,1.858602,56.383728,17.50163235,6.898547059,23.48
9.1,20.11617,3.42693,3.29058,1.20897,53.37648,16.46349178,7.244935294,34.73
7.83,20.839637,4.129216,3.760536,2.230514,52.195871,14.81020569,6.181670588,21.01
6.8,22.25616,4.1474,4.15672,2.02244,52.27588,13.8719182,4.991623529,16.38
8.6,24.32154,3.64686,3.50976,1.26132,50.1329,14.84037759,5.891105882,27.11
10.65,19.58,2.754415647,3.93,5.414341059,58.72137941,22.8,2.9,30.16
10.75,20.73,3.016922941,3.55,5.195964706,58.62665412,21.1,3.5,31.54
7.36,21.52,3.149106235,4.34,4.352660824,59.03766771,21.6,3.2,43.61
11.39,18.07,2.505346824,3.85,6.105939529,59.51740576,18.6,3.3,33.81
9.54,20.87,2.584331765,3.9,4.562911647,59.42507918,22.6,2.7,40.09
10.86,18.75,2.902323353,3.9,5.551008176,59.16070576,20.4,2.5,29.71
12.01,20.1,2.919766059,3.93,5.180282353,59.31805159,17.5,2.2,46.08
13.39,21,1.871432941,3.99,6.45,53.97,18.42534478,7.690758176,36.92
6.54,21.40234,3.299138,2.644918,4.177662,61.935942,18.29168857,6.858864706,28.76
10.11,22.005072,1.420262,2.831535,3.200084,60.433047,19.7671326,8.354208471,20.97
10.86,26.180418,0.374388,2.103704,4.636048,54.42160353,9.769744,7.804654706,22.39
11.75,23.465675,0.661875,2.038575,3.963546412,54.59525176,8.551425,9.565031176,28.25
13.2,24.6,1.81,3.44,4.95,52.41652947,14.43327543,7.7,30.38
10.95,20.07,1.96,3.59,4.27,58.33685141,17.45403871,6.47,26.27
11.07,22.66,1.86,3.62,4.6,53.83925306,15.00078794,7.69,30.12
13,23.04,1.77,3.65,4.34,54.523097,15.03927902,8.24,29.6
7.81,23.36,2.92,2.15,3.2,60.6,17.17001606,5.264382353,16.54
8.4,23.88,3.14,4.27,3.72,56.92,17.20550627,5.549288235,20.52
8.44,23.82,2.3,4.89,3.24,56.94,16.53157499,6.510864706,29.39
8.95,22.64,6.44,2.622029941,3.22,40.5,19.09411765,3.270317647,19.49
11.07,26.35,3.23,4.72,4.03,51.06,14.43266643,6.425676471,30.47
9.36,25.19,3.17,3.81,3.61,53.6,14.65190214,6.156617647,27.57
14.54,32.58,4.2,11.6,7.4,26.7,19.14480584,8.494132,37.05
8.35,23.36,5.07,3.62,2.12628,53.60597947,16.13945094,3.44,29.3
10.67,19.974188,1.849131,2.536972,3.367741,61.601968,21.99480789,7.987147059,10.34
11.67,21.958838,1.625272,4.027848,3.453703,57.264339,20.43057355,8.020973647,23.67
10.2,25.25176,1.19434,3.85242,2.77482,56.72666,17.73613331,6.618988235,28.71
8.11,19.866618,2.232927,2.701566,4.282074,62.806815,19.12226571,7.094382353,17.95
9.6,22.20224,1.37408,4.07704,3.9776,58.76904,19.22547322,8.465220235,33.4
10,22.689,1.413,3.816,4.392,57.69,19.19016754,8.537067294,33.37
9,22.3587,1.365,3.913,3.822,59.5413,19.00168377,8.465220235,41.12
9,20.9482,1.1557,3.7401,3.9403,61.2157,19.1671851,8.272358824,31.73
11.5,19.3107,2.0355,4.0356,4.64625,58.47195,21.99480789,6.861023529,30.06
11,21.7605,1.335,4.0495,4.9395,56.9155,20.15477172,7.982890824,38.08
10,23.796,0.891,3.915,5.688,55.71,17.73613331,7.934302588,27.09
10.4,20.8768,1.73824,3.75424,5.152,58.07872,21.49183848,8.679984941,33.81
10,20.277,1.485,3.816,5.571,58.851,21.95428422,8.257252941,25.3
10,20.277,1.107,3.825,4.221,60.57,21.95428422,8.210194118,30.41
9,18.7551,1.8291,3.6218,4.9049,61.8891,19.95333934,6.905864706,32.2
9,20.3476,1.2012,3.276,5.096,61.0792,19.56178845,8.572276471,18.02
9.6,19.3456,1.4464,4.18552,5.4692,59.95328,21.15655314,6.781511765,22.03
12,25.3176,1.1968,3.6168,5.5792,52.2896,14.85821255,7.129573176,26.42
12.6,19.228,0.874,3.4086,5.242880294,57.19378106,18.34865929,6.9046,13.91
9.5,19.6385,1.448,3.801,4.919335294,60.55412753,15.93076644,6.516,35.13
10.2,21.4622,1.1674,2.3348,4.591412059,58.19009459,14.15522613,11.9434,22.59
11.5,12.4785,0.9735,3.717,4.883342118,67.33891449,6.876323431,12.8325,24.8
13.3,16.473,1.2138,3.7281,4.651632294,61.48584165,14.94806339,12.2247,25.54
12.1,20.9202,1.2306,1.8459,4.847757941,56.22649571,17.37254261,6.3288,28.38
11.1,28.9814,0.889,3.7338,4.648243176,53.58916235,13.60348908,8.0899,26.77
9.9,23.6963,1.4416,1.802,3.811496471,57.38034941,13.26619406,20.5428,27.6
10.7,18.0386,1.1609,1.6967,5.285662647,60.94087706,15.10573996,12.5913,24.96
10.1,19.1487,1.1687,3.596,5.005075941,60.02916529,15.22570063,18.0699,24.98
12,19.536,1.056,2.816,5.115462647,57.42965282,17.49717596,6.864,27.7
12.4,19.0092,0.9636,3.4164,5.749374412,57.74782147,18.13138667,5.1684,39.99
10.3,21.1692,0.9867,3.588,4.817574353,57.67393618,15.69091625,5.8305,34.11
12.6,19.3154,0.9614,3.496,5.242880294,57.19378106,18.34865929,7.1668,34.63
7.7,25.4748,1.4768,4.5227,3.306570588,54.84016253,11.69883459,7.2917,36.52
10.3,17.4018,4.7541,1.0764,4.972061765,53.49080753,13.53845969,13.2756,22.12
10.8,21.2296,0.9812,3.6572,4.804974529,57.32112671,15.72778229,7.0468,18.29
10.3,21.7074,0.897,3.4983,4.762339059,56.92192406,14.77339042,9.1494,32.37
12.4,21.1116,0.7884,3.8544,4.724873941,56.34824094,17.40525761,6.7452,25.19
11.3,21.3767,1.4192,3.548,4.446034824,56.23903476,14.23024365,18.0948,27.83
11.3,21.9089,1.774,3.9028,4.362445294,56.55705065,14.88689902,13.2163,31.64
8.8,25.1712,0.912,4.2864,3.596289412,55.49976018,13.03475482,5.6544,34.84
14.8,22.7484,0.9372,3.9192,3.734223824,54.43633547,15.61978343,9.372,30.16
9.3,22.2215,1.9954,1.7233,3.926368471,58.94643147,13.43310465,11.0654,37.96
13.6,19.2672,1.2096,3.3696,4.665954176,57.18615753,15.60570229,12.2688,38.36
10.7,19.3781,1.0716,4.0185,5.040887706,59.63968412,16.35509471,10.8946,31.19
10.5,19.4215,0.9845,3.401,5.018246529,59.55546059,15.63578445,12.2615,33.7
12.2,19.8428,0.878,3.8632,5.199539294,57.07558812,16.29629394,10.7116,39.82
11,24.208,0.89,2.047,3.884797412,55.10403929,13.79194935,9.434,31.81
11.7,19.0728,1.5011,1.8543,5.363299412,58.96491206,18.24864157,5.6512,23.4
9.6,18.8936,1.0848,3.9776,4.895976471,60.46975835,15.6918367,10.4864,34.32
11.8,23.7258,2.4696,3.4398,4.065752176,53.69927653,14.31536008,9.4374,30.35
11.5,19.116,1.1505,3.717,5.793250882,58.938405,17.9192298,5.31,31.74
8.6,22.85,1.2796,2.285,4.119287882,58.19342118,12.28026706,5.6668,31.56
9.698823529,20.165,1.295,4.255,3.7,63.085,20.13985646,6.958890882,12.62
10.13647059,20.8992,1.7727,3.9186,4.1985,62.511,20.16673213,6.943708294,28.96
10.24843137,20.7675,1.1999,3.5997,4.9842,61.7487,19.86569361,6.943708294,39.24
9.310784314,21.9936,2.4128,4.4544,4.176,59.7632,20.11234245,7.561778412,18.12
10.71588235,20.4268,2.5648,3.5724,4.3968,60.6392,20.21739146,7.664246412,17.21
10.11,21.2245,2.244,3.4595,4.114,62.458,20.04102001,7.287307824,15.41
