Food name in English;WATER(g);PROTCNT(g);FATCE(g);CHOAVLDF(g);SUGAR(g);FIBTG(g);FIBND(g);FIBAD(g);FIBC(g);ASH(g);CELLU(g);LIGN(g);HEMCEL(g)
Sorghum, whole grain, white, raw;9.4;9.33;;58.7;;17.214;;;;1.44;;;
Sorghum, whole grain, red, raw;10.1;6.65;;64.18;;14.0244;;;;1.52;;;
Quinoa, Oca suca, abrasive dehulling, raw;9.8;;;;;;;;;;;;
Quinoa, Blanca de Juli, abrasive dehulling, raw;9.8;;;;;;;;;;;;
Quinoa, Blanca de Junin, abrasive dehulling, raw;9.8;;;;;;;;;;;;
Quinoa, Puno 8-80, abrasive dehulling, raw;9.8;;;;;;;;;;;;
Quinoa, Puno -15, abrasive dehulling, raw;9.8;;;;;;;;;;;;
Quinoa, Kancolla, abrasive dehulling, raw;9.8;;;;;;;;;;;;
Quinoa, Cheweca, abrasive dehulling, raw;9.8;;;;;;;;;;;;
Quinoa, Kancolla Rosanna, abrasive dehulling, raw;9.8;14.48;;;;;;;;2.8;;;
Quinoa, Real, abrasive dehulling, raw;9.8;12.2;;;;;;;;3.07;;;
Quinoa, Kaslala, abrasive dehulling, raw;9.8;;;;;;;;;;;;
Quinoa, Wila Coymini, abrasive dehulling, raw;9.8;;;;;;;;;;;;
Quinoa, Janku, abrasive dehulling, raw;9.8;;;;;;;;;;;;
Quinoa, Kellu, abrasive dehulling, raw;9.8;;;;;;;;;;;;
Quinoa, Puca, abrasive dehulling, raw;9.8;;;;;;;;;;;;
Quinoa, Pasancalla, abrasive dehulling, raw;9.8;;;;;;;;;;;;
Quinoa, Pasancalla, abrasive dehulling, raw;9.8;;;;;;;;;;;;
Quinoa, Amarilla de Junin, abrasive dehulling,raw;9.8;;;;;;;;;;;;
Quinoa, sajama 01, raw;;;;;;;;;;;;;
Quinoa, sajama 02, raw;;;;;;;;;;;;;
Quinoa, sajama 03, raw;;;;;;;;;;;;;
Quinoa, perulac polished, raw;;;;;;;;;;;;;
Quinoa, perulac, whole grain, raw;;;;;;;;;;;;;
Quinoa, Porotok, raw;;;;;;;;;;;;;
Quinoa, LR-013, raw;;;;;;;;;;;;;
Quinoa, Blanca de juli, raw;11.39;12.369956;;66.590415;;12.157292;;;1.7722;2.995018;;;
Quinoa, Kcancolla, raw;10.78;13.534674;;64.657734;;12.588942;;;2.739054;3.140544;;;
Quinoa, La Molina 89, raw;12.03;13.608959;;60.558548;;14.066403;;;2.973386;4.803162;;;
Quinoa, Sajama, raw;12.62;12.696314;;66.251516;;11.848728;;;1.677696;2.656352;;;
Quinoa, sea-level NL-6, raw;;;;;;;;;;;;;
Quinoa, sea-level NL-6, raw;;;;;;;;;;;;;
Quinoa, sea-level NL-6, raw;;;;;;;;;;;;;
Quinoa, sea-level NL-6, raw;;;;;;;;;;;;;
Quinoa, sea-level NL-6, raw;;;;;;;;;;;;;
Quinoa, sea-level NL-6, raw;;;;;;;;;;;;;
Quinoa, sea-level NL-6, raw;;;;;;;;;;;;;
Quinoa, sea-level NL-6, raw;;;;;;;;;;;;;
Quinoa, sea-level NL-6, raw;;;;;;;;;;;;;
Quinoa, sea-level NL-6, raw;;;;;;;;;;;;;
Quinoa, Ccoito, raw;8.47;;;68.1;;;;;1.81;2.83;;;
Quinoa, INIA-415 Pasankalla, raw;9.76;;;67;;;;;2.2;2.49;;;
Quinoa, Roja de Coporaque, raw;8.3;;;70.8;;;;;2.26;2.93;;;
Quinoa, Witulla, raw;8.81;;;69.5;;;;;2.62;2.57;;;
Quinoa, 03-21-0093, raw;8.47;;;;;;;;;2.76;;;
Quinoa, Salcedo INIA, raw;8.26;;;70;;;;;1.84;2.37;;;
Quinoa, Huaripongo, raw;10.34;;;67.8;;;;;2.51;2.92;;;
Quinoa, 03-21-1181, raw;9.37;;;69.8;;;;;2.88;3.12;;;
Quinoa, Real TKW 2.8g, raw;10.8;11.5068;;56.8204;;12.3988;;;;2.676;;;
Sweet quinoa, Surumi, raw;8.2;14.8;5.3;;;8.8;;;;2.6;;;
Quinoa, D407, flour, raw;7.8;15.6;;;;8.9;;;;2.3;;;
Quinoa, Kcancolla, raw;13.07;9.29;6.63;;;;;;1.49;3.06;;;
Quinoa, Kcancolla, raw;12.06;12.6;5.22;;;;;;4.37;6.63;;;
Quinoa, Blanca de Juli, raw;12.42;9.08;5.37;;;;;;5.21;7.69;;;
Quinoa, Sajama, raw;12.14;13.25;5.12;;;;;;2.44;4.31;;;
Quinoa, Witulla, raw;10.93;10.23;5.99;;;;;;1.71;2.27;;;
Quinoa, Blanca de Junin, raw;9.95;12.49;6.77;;;;;;1.04;3.09;;;
Quinoa, Sajama, raw;12.47;12.54;6;;;;;;2.65;2.92;;;
Quinoa, Titicaca, Q100, raw;9.8;14.6124;5.1414;;;;;;;3.36446;;;
Quinoa, Titicaca, Q100, raw;9.8;;;;;;;;;;;;
Quinoa, Titicaca, Q100, raw;9.8;;;;;;;;;;;;
Quinoa, Titicaca, Q50, raw;9.8;14.7026;5.1414;;;;;;;3.45466;;;
Quinoa, Titicaca, Q50, raw;9.8;;;;;;;;;;;;
Quinoa, Titicaca, Q50S, raw;9.8;;;;;;;;;;;;
Quinoa, Titicaca, Q25, raw;9.8;14.432;5.2316;;;;;;;3.32838;;;
Quinoa, Titicaca, Q25, raw;9.8;;;;;;;;;;;;
Quinoa, Titicaca, Q25, raw;9.8;;;;;;;;;;;;
Quinoa, Titicaca, Q100S, raw;9.8;13.2594;5.2316;;;;;;;3.70722;;;
Quinoa, Titicaca, Q100S, raw;9.8;;;;;;;;;;;;
Quinoa, Titicaca, Q100S, raw;9.8;;;;;;;;;;;;
Quinoa, Titicaca, Q50S, raw;9.8;13.2594;4.6904;;;;;;;3.5178;;;
Quinoa, Titicaca, Q50S, raw;9.8;;;;;;;;;;;;
Quinoa, Titicaca, Q50S, raw;9.8;;;;;;;;;;;;
Quinoa, Titicaca, Q25S, raw;9.8;13.981;5.2316;;;;;;;3.27426;;;
Quinoa, Titicaca, Q25S, raw;9.8;;;;;;;;;;;;
Quinoa, Titicaca, Q25S, raw;9.8;;;;;;;;;;;;
Quinoa, raw;12;11;5.3;;;;;;;3;;;
Quinoa, raw;9.6;;;61.7;;;;;;3.3;;;
Quinoa, whole seed, raw;;;;;;;;;;;;;
Quinoa, bitter quinoa, raw;9;15.7;5.7;;;10.3;;;;3.1;;;
Quinoa, commercial, raw;10.13;13.18;;63.6;;;;;4.23;2.34;;;
Quinoa, commercial, raw ;11.51;13.48;;59.4;;;;;7.04;2.27;;;
Rice, D68, brown, raw;12.3;7.62113;2.12234;;;0.69283;;;;1.20149;;;
Rice, Bar68-1, brown, genetically modified, raw;12.4;7.95408;2.31264;;;0.67452;;;;1.06872;;;
Rice, D68, brown, milled, raw;11.2;7.29048;0.51504;;;0.34632;;;;0.83472;;;
Rice, Bar68-1, brown, genetically modified, milled, raw;11.6;7.71732;0.54808;;;0.34476;;;;0.74256;;;
Rice, Nakdongbyeo, brown, raw;11.18;6.252928;2.08727;;;;;;0.781616;1.190188;;;
Rice, Agb0101, brown, genetically modified, raw;11.08;6.962436;2.054052;;;;;;0.764712;1.164852;;;
Rice, Minghui 86, raw;11;8.3;1.04;;;6.6;;;;0.8;;;
Rice, Minghui 86, genetically modified, raw ;11.5;8.5;0.82;;;6.8;;;;0.8;;;
Rice, Indica, Liangyou 2186, brown, raw;11.6;7.35488;2.28956;;;;;;;1.38788;;;
Rice, Indica, Liangyou Kefeng No. 6, brown, genetically modified, raw;12.3;7.84915;2.14865;;;;;;;1.24534;;;
Rice, Indica, Liangyou 2186, milled, raw;11.8;7.22358;1.24362;;;;;;;0.82026;;;
Rice, Indica, Liangyou Kefeng No. 6, genetically modified, milled, raw;12.5;7.74375;1.33;;;;;;;0.735;;;
Rice, Ofada, brown colour, raw;7.5;;;;;;;;3.5;0.8;;;
Rice, Aroso, cream colour, raw;8;;;;;;;;1.5;0.53;;;
Rice, II32B, giant embryo, brown, raw;13.5;8.3905;;;;;;;;;;;
Rice, II-ge1, normal embryo, brown, raw;13.5;11.3315;;;;;;;;;;;
Rice, Xiushui 110, giant embryo, brown, raw;13.5;7.0065;;;;;;;;;;;
Rice, XS-ge1, normal embryo, brown, raw;13.5;7.958;;;;;;;;;;;
Rice, Njavara, red, long, bold, dehusked, raw;13.1;8.27288;2.15512;;;;;;0.45188;1.23398;;;
Rice, PTB 39/ Jyothi, red, long, bold, dehusked, raw;13;6.9339;2.262;;;;;;0.3741;1.3398;;;
Rice, IR 64, brownish white, long, slender, raw;13.6;6.8688;1.77984;;;;;;0.45792;1.09728;;;
Rice, BETA, bran, raw;12.6;;;23.25714;;;;;10.64532;19.38532;;;
Rice, B 189, bran, raw;7.15;;;31.51329;;;;;11.60625;10.779885;;;
Rice, GK 88, bran, raw;9.25;;;38.577825;;;;;8.25825;8.557725;;;
Rice, GRUG 7, bran, raw;8.8;;;41.11296;;;;;7.32336;7.77936;;;
Rice, IR 64, bran, raw;9.52;;;39.67548;;;;;7.989384;8.134152;;;
Rice, IR 66, bran, raw;8.71;;;37.346739;;;;;8.782098;9.010323;;;
Rice, IR 68, bran, raw;9.88;;;39.78798;;;;;8.29104;7.97562;;;
Rice, ITA 72, bran, raw;9.13;;;37.52931;;;;;6.660771;7.896603;;;
Rice, ITA 222, bran, raw;9.1;;;42.12306;;;;;6.92658;7.69923;;;
Rice, ITA 304, bran, raw;8.06;;;32.647894;;;;;12.025752;9.69967;;;
Rice, ITA 334, bran, raw;8.81;;;34.615724;;;;;10.568921;9.155476;;;
Rice, ITA 402, bran, raw;8.82;;;36.298758;;;;;9.61949;9.655962;;;
Rice, ITA 406, bran, raw;7.82;;;40.891048;;;;;7.153168;8.48056;;;
Rice, Mr. More, bran, raw;13.03;;;31.361382;;;;;11.65398;8.26215;;;
Rice, TOX 3108, bran, raw;7.63;;;33.964449;;;;;12.28521;11.767938;;;
Rice, WAR 100, bran, raw;9.81;;;34.461599;;;;;9.704444;10.498116;;;
Rice, Bangara Tegalu, raw;10.1;10.4284;0.4495;;;;;;;0.5394;;;
Rice, Gowri sanna, raw;9.5;8.507;0.4525;;;;;;;0.543;;;
Rice, Jeera, raw;10.5;6.7125;0.537;;;;;;;0.4475;;;
Rice, Basmati, raw;10.2;7.3636;0.449;;;;;;;0.3592;;;
Rice, Bengal, rough, nontransgenic, conventional herbicide system, raw;10.99;;;;;16.769484;16.11081;13.066668;9.221436;;;;
Rice, Bengal, rough, transgenic, conventional herbicide system, raw;10.42;;;;;17.387478;17.414352;12.818898;9.504438;;;;
Rice, Bengal, rough, transgenic, liberty herbicide system, raw;12.93;;;;;16.038294;15.611651;12.302991;9.098815;;;;
Rice, IR 32, brown, raw;10.4;7.5;3;;;;;;;0.81;;;
Rice, IR 480-5-9, brown, raw;10.7;10.8;2.7;;;;;;;1.58;;;
Rice, IR 32, milled, raw;11.6;6.8;0.5;;;;;;;0.3;;;
Rice, IR 480-5-9, milled, raw;11.1;10.5;0.4;;;;;;;0.8;;;
Rice, IR 32, bran, raw;9.3;14.2;20.7;;;;;;;5.8;;;
Rice, IR 480-5-9, bran, raw;10.6;14;20.9;;;;;;;11.9;;;
Rice, IR 32, polishings (inner bran), raw;11.1;13.1;12.8;;;;;;;3.5;;;
Rice, IR 480-5-9, polishings (inner bran), raw;10.7;18.8;13.7;;;;;;;6.7;;;
Rice, IR 32, subaleurone endsperm, raw;11.9;12.3;3;;;;;;;1;;;
Rice, IR 480-5-9, subaleurone endsperm, raw;11.4;20.4;2.9;;;;;;;1.8;;;
Rice, IR 32, middle endsperm, raw;12.1;10.2;0.3;;;;;;;0.4;;;
Rice, IR 480-5-9, middle endsperm, raw;10.3;16;0.3;;;;;;;0.6;;;
Rice, IR 32, inner endsperm, raw;11.5;5.4;0.2;;;;;;;0.2;;;
Rice, IR 480-5-9, inner endsperm, raw;9.4;7.4;0.1;;;;;;;0.3;;;
Rice, IR 5, brown, raw;;;;;;;;;;;;;
Rice, IR 8, brown, raw;;;;;;;;;;;;;
Rice, IR 20, brown, raw;;;;;;;;;;;;;
Rice, IR 22, brown, raw;;;;;;;;;;;;;
Rice, IR 24, brown, raw;;;;;;;;;;;;;
Rice, IR 26, brown, raw;;;;;;;;;;;;;
Rice, IR 28, brown, raw;;;;;;;;;;;;;
Rice, IR 29, brown, raw;;;;;;;;;;;;;
Rice, IR 30, brown, raw;;;;;;;;;;;;;
Rice, IR 32, brown, raw;;;;;;;;;;;;;
Rice, IR 34, brown, raw;;;;;;;;;;;;;
Rice, IR 36, brown, raw;;;;;;;;;;;;;
Rice, IR 38, brown, raw;;;;;;;;;;;;;
Rice, IR 40, brown, raw;;;;;;;;;;;;;
Rice, IR 42, brown, raw;;;;;;;;;;;;;
Rice, IR 43, brown, raw;;;;;;;;;;;;;
Rice, IR 44, brown, raw;;;;;;;;;;;;;
Rice, IR 45, brown, raw;;;;;;;;;;;;;
Rice, IR 46, brown, raw;;;;;;;;;;;;;
Rice, IR 48, brown, raw;;;;;;;;;;;;;
Rice, IR 50, brown, raw;;;;;;;;;;;;;
Rice, IR 52, brown, raw;;;;;;;;;;;;;
Rice, IR 54, brown, raw;;;;;;;;;;;;;
Rice, IR 56, brown, raw;;;;;;;;;;;;;
Rice, IR 58, brown, raw;;;;;;;;;;;;;
Rice, IR 60, brown, raw;;;;;;;;;;;;;
Rice, IR 62, brown, raw;;;;;;;;;;;;;
Rice, IR 64, brown, raw;;;;;;;;;;;;;
Rice, IR 65, brown, raw;;;;;;;;;;;;;
