Food Product,Moisture,Protein,Fat,Total Carbohydrates,Sugars,Dietary Fiber,Crude Fiber,Ash,Side Stream
"Sorghum, whole grain, white, raw",9.40000000000001,9.33,,58.7,,17.214,,1.44,
"Sorghum, whole grain, red, raw",10.1,6.65,,64.18,,14.0244,,1.52,
"Quinoa, Blanca de juli, raw",11.39,12.369956,,66.590415,,12.157292,1.7722,2.995018,
"Quinoa, Kcancolla, raw",10.78,13.534674,,64.657734,,12.588942,2.739054,3.140544,
"Quinoa, La Molina 89, raw",12.03,13.608959,,60.558548,,14.066403,2.973386,4.803162,
"Quinoa, Sajama, raw",12.62,12.696314,,66.251516,,11.848728,1.677696,2.656352,
"Quinoa, Real TKW 2.8g, raw",10.8,11.5068,,56.8204,,12.3988,,2.676,
"Sweet quinoa, Surumi, raw",8.2,14.8,5.3,,,8.8,,2.6,
"Quinoa, Kcancolla, raw",13.07,9.29,6.63,,,,1.49,3.06,
"Quinoa, Kcancolla, raw",12.06,12.6,5.22,,,,4.37,6.63,
"Quinoa, Blanca de Juli, raw",12.42,9.08,5.37,,,,5.21,7.69,
"Quinoa, Sajama, raw",12.14,13.25,5.12,,,,2.44,4.31,
"Quinoa, Witulla, raw",10.93,10.23,5.99,,,,1.71,2.27,
"Quinoa, Blanca de Junin, raw",9.95,12.49,6.77,,,,1.04,3.09,
"Quinoa, Sajama, raw",12.47,12.54,6.0,,,,2.65,2.92,
"Quinoa, bitter quinoa, raw",9.0,15.7,5.7,,,10.3,,3.1,
"Quinoa, commercial, raw",10.13,13.18,,63.6,,,4.23,2.34,
"Quinoa, commercial, raw ",11.51,13.48,,59.4,,,7.04,2.27,
"Rice, D68, brown, raw",12.3,7.62113,2.12234,,,0.6928300000000001,,1.20149,
"Rice, Bar68-1, brown, genetically modified, raw",12.4,7.95408,2.31264,,,0.67452,,1.06872,
"Rice, D68, brown, milled, raw",11.2,7.29048,0.5150399999999999,,,0.3463199999999999,,0.8347199999999999,
"Rice, Bar68-1, brown, genetically modified, milled, raw",11.6,7.717320000000002,0.54808,,,0.34476,,0.74256,
"Rice, Nakdongbyeo, brown, raw",11.18,6.252928,2.08727,,,,0.781616,1.190188,
"Rice, Agb0101, brown, genetically modified, raw",11.08,6.962436,2.054052,,,,0.764712,1.164852,
"Rice, Minghui 86, raw",11.0,8.3,1.04,,,6.6,,0.8,
"Rice, Minghui 86, genetically modified, raw ",11.5,8.5,0.82,,,6.8,,0.8,
"Rice, Njavara, red, long, bold, dehusked, raw",13.1,8.27288,2.15512,,,,0.45188,1.23398,
"Rice, PTB 39/ Jyothi, red, long, bold, dehusked, raw",13.0,6.9339,2.262,,,,0.3741,1.3398,
"Rice, IR 64, brownish white, long, slender, raw",13.6,6.868800000000001,1.77984,,,,0.45792,1.09728,
"Rice, Bengal, rough, nontransgenic, conventional herbicide system, raw",10.99,,,,,16.769484,9.221436,,
"Rice, Bengal, rough, transgenic, conventional herbicide system, raw",10.42,,,,,17.387478,9.504438,,
"Rice, Bengal, rough, transgenic, liberty herbicide system, raw",12.93,,,,,16.038294,9.098814999999998,,
"Rice, Iksan483, genetically modified, brown, raw",8.44,7.38,2.41,79.62,,0.83,,1.33,
"Rice, Anjung, conventional, brown, raw",9.39,8.21,2.42,77.52,,1.05,,1.43,
"Rice, Shindongjin, conventional, brown, raw",9.05,6.87,2.46,79.46,,0.94,,1.23,
"Rice, Milyang204, genetically modified, brown, raw",7.77,6.73,2.7,80.53,,1.06,,1.21,
"Rice, Dongjin , conventional, brown, raw",7.79,7.1,2.42,80.44,,0.94,,1.32,
"Rice, Junam, conventional, brown, raw",8.66,6.97,2.35,79.73,,0.98,,1.3,
"Rice, wild, Chinese, raw",9.51,12.0,1.09,75.04,,1.24,,1.11,
"Rice, wild, Chinese, raw",9.62,13.48,1.06,72.61,,1.87,,1.36,
"Rice, wild, Chinese, raw",9.43,15.15,1.23,71.16,,1.58,,1.45,
"Rice, wild, Chinese, raw",9.34,12.57,0.94,73.92,,1.93,,1.3,
"Rice, wild, Chinese, raw",9.64,12.96,1.02,73.25,,1.86,,1.27,
"Rice, wild, North American, raw",9.12,13.03,0.94,74.29,,1.15,,1.47,
"Rice, wild, North American, raw",9.24,13.24,0.72,74.25,,1.24,,1.31,
"Eincorn wheat, grain, raw",12.36666666666666,9.46,,62.81333333333333,,11.30333333333333,,1.906666666666667,
"Green pod, raw",40.5,16.5,9.2,24.6,,,6.5,2.7,
"Creeping bauhinia/ Marama bean/ Tamani berry, green pod, fresh, raw",72.5,6.4,2.9,13.6,,,3.3,1.3,
"Yam bean, seeds, raw",7.3,28.27,26.8,26.85,,,6.2,4.58,
"Broad bean, 'White Windsor', seed, raw, milled",12.76,28.257036,2.608476,,,,7.424123999999999,3.123192,
"Horse (field) bean, 'Nadwinslanski', seed, raw, milled",11.09,26.086194,1.493688,,,,7.948554000000001,3.503054,
"Common bean, 'Longina', seed, raw, milled",10.57000000000001,23.681064,1.958517,,,,4.310525999999999,3.630858,
"Field pea, 'Fidelia', seed, raw, milled",11.27000000000001,22.528547,2.830487,,,,4.312278,2.732884,
"Flat pea, 'Fortella', seed, raw, milled",10.5,24.6125,2.67605,,,,5.1373,2.80135,
"Garden pea, 'Elektron', seed, raw, milled",11.75,21.4271,2.762224999999999,,,,2.762224999999999,2.691625,
"Kidney bean, 'Eureka', seed, raw, milled",11.42999999999999,19.122263,3.967936,,,,4.109648,4.295645,
"Lentil, 'Trebisowska', seed, raw, milled",9.679999999999993,27.3218,2.854112,,,,3.766344,3.152168,
"Velvet beans, seeds, mature, raw",9.94,20.902926,6.25917,49.271826,,,7.096728000000001,4.692126,
"Velvet bean, var. utilis, Black, seeds, mature, raw",6.7,18.8466,5.8779,57.0996,,,,3.3588,
"Velvet bean, var. utilis, Black, seeds, mature, raw",8.5,26.8095,5.856,45.6585,,,,3.843,
"Velvet bean, var. utilis, Black, seeds, mature, raw",7.9,24.7749,6.8154,47.7999,,,,3.039299999999999,
"Velvet bean, var. utilis, White, seeds, mature, raw",7.1,24.8043,6.8746,46.5429,,,,5.109500000000001,
"Zaragoza bean, White, raw",8.97,21.28,0.87,61.74,,,3.72,3.42,
"Zaragoza bean, Spotted, raw",8.58,20.24,0.95,63.44,,,3.03,3.76,
"Zaragoza bean, Red, raw",8.47,19.6,0.96,63.14,,,4.09,3.74,
"Brachystegia eurycoma, seeds, raw",7.5,8.75,11.5,67.2,,,,2.2,
"Canavalia ensiformis, seeds, raw",7.4,26.5,9.6,46.9,,,,2.0,
"Brachystegia eurycoma, seeds, raw",7.6,10.0,13.0,64.4,,,,2.3,
"Canavalia ensiformis, seeds, raw",9.6,24.6,7.2,46.2,,,,2.0,
"Terapy bean, White, seeds, raw",5.44,20.216928,1.059072,,,17.0318932038835,,3.820224,
"Terapy bean, White, seeds, raw",1.67,16.952092,1.071797,,,23.20313618441008,,4.670675,
"Terapy bean, White, seeds, raw",4.02,22.12339,0.950202,,,13.17410564589435,,3.781612,
"Terapy bean, White, seeds, raw",2.19,17.097188,0.909633,,,16.96149994953064,,4.372107,
"Terapy bean, Brown, seeds, raw",5.54,21.82026,1.03906,,,17.17280889787664,,3.806738,
"Terapy bean, Brown, seeds, raw",5.64,21.495208,0.688828,,,16.48234511937141,,4.491536,
"Terapy bean, Brown, seeds, raw",5.36,20.77348,0.766584,,,13.69174311926606,,4.30612,
"Terapy bean, Brown, seeds, raw",5.31,21.267374,0.909024,,,17.51535541195476,,4.412554,
"Terapy bean, Brown, seeds, raw",6.77,19.531685,0.978915,,,16.41300252652855,,4.074151000000001,
"Terapy bean, Brown, seeds, raw",2.22,18.13819,0.8800200000000001,,,22.09176791120081,,4.25343,
"Terapy bean, Blue, seeds, raw",2.57,22.155582,1.149674,,,18.92993321190042,,3.721826000000001,
"Terapy bean, Brown speckled, seeds, raw",2.53,20.712375,1.120905,,,22.40281638846737,,3.947535,
"Terapy bean, Black, seeds, raw",7.94,20.326848,0.708862,,,17.14470220699385,,4.133494,
"Terapy bean, Black, seeds, raw",2.4,22.36016,1.00528,,,20.6501364049712,,4.518879999999999,
"Lentil, Red, raw",9.6,23.0,1.9,47.6,2.7,13.7,,2.1,
"Field bean, var. Chiaro di Torre Lama, seeds, raw",,19.4166,0.3752,,,,11.1622,3.752,
"Field bean, var. Vesuvio, seeds, raw",,19.7707,0.3748,,,,14.5235,3.6543,
"Lupin, var. Luxe, seeds, raw",,26.028,2.7956,,,,15.8096,3.856,
"Lupin, var. Multitalia, seeds, raw",,26.5236,2.0181,,,,14.6072,5.6699,
"Pea, var. Classic, seeds, raw",,16.1082,0.5652,,,,7.912800000000001,3.2028,
"Pea, var. Hardy, seeds, raw",,16.1164,0.5622,,,,7.1212,3.2795,
"Pea, var. Ideal, seeds, raw",,17.6528,0.5664,,,,8.118400000000001,3.304,
"Chickpea, Kabuli, raw",8.9,19.9,6.7,46.1,3.3,13.5,,2.6,
"Chickpea, Desi, raw",8.3,19.7,5.5,41.4,2.2,20.8,,2.6,
"Lentil, Green, raw",11.8,25.3,1.7,42.1,1.5,14.6,,2.3,
"Mung beans, Crystal, raw",10.3,24.5,2.0,43.2,2.1,13.7,,3.5,
"Lentil, Green, whole, large, raw",9.4,25.61,,,1.5,17.7,,2.14,
"Lentil, Green, whole, medium, raw",9.47,23.94,,,1.5,15.6,,2.04,
"Lentil, Green, whole, small, raw",8.89,25.38,,,1.5,18.0,,2.29,
"Lentil, Green, whole, French, raw",9.08,25.18,,,1.4,16.8,,2.01,
"Lentil, Red, whole, small, raw",9.05,25.29,,,1.2,16.9,,1.76,
"Lentil, Red, whole, extra small, raw",8.99,25.09,,,1.4,21.0,,2.21,
"Pea, Green, whole, raw",9.53,18.44,,,2.9,26.0,,2.26,
"Pea, Yellow, whole, raw",10.36,18.66,,,2.2,20.4,,1.8,
"Chickpea, Desi, raw",6.68,20.79,,,1.7,21.5,,1.46,
"Chickpea, Kabuli, raw",7.61,21.54,,,2.8,12.6,,1.17,
"Lima bean, seeds, raw",,22.0158,0.93318,57.4404,,,7.00338,3.18006,
"Mung bean, var. Asha, seeds, fully mature, raw",9.2,18.16,1.19856,64.7404,,,3.8136,2.91468,
"Mung bean, var. Muskan, seeds, fully mature, raw",9.7,19.9563,1.10166,61.5846,,,4.6956,2.95281,
"Mung bean, var. Satya, seeds, fully mature, raw",8.7,20.8164,1.19603,62.9057,,,3.8346,2.54727,
"Mung bean, var. MH 124, seeds, fully mature, raw",8.7,17.4383,1.13212,65.6447,,,4.1998,2.84856,
"Mung bean, var. MH 125, seeds, fully mature, raw",8.3,20.9993,1.12791,61.8058,,,4.9518,2.82436,
"Mung bean, var. MH 318, seeds, fully mature, raw",9.7,18.7824,1.36353,63.1197,,,3.7023,3.295949999999999,
"Mung bean, var. MH 421, seeds, fully mature, raw",8.8,16.3248,1.05792,66.8496,,,4.0128,3.07344,
"Mung bean, var. MH 539, seeds, fully mature, raw",8.9,20.6797,1.23896,61.8569,,,4.2817,3.05185,
"Mung bean, var. MH 560, seeds, fully mature, raw",8.0,18.032,1.3616,64.12400000000001,,,4.784000000000001,3.7536,
"Mung bean, var. MH 564, seeds, fully mature, raw",9.5,19.0955,1.4842,63.25950000000001,,,4.0725,2.61545,
"Cowpea, Black, seeds, whole, raw",7.88,20.78,1.54,64.26,,,1.48,4.06,
"Cowpea, White, seeds, whole, raw",8.92,22.34,2.08,60.55,,,1.88,4.23,
"Cowpea, Black/white speckled, seeds, whole, raw",7.81,27.22,1.36,58.19,,,1.42,4.0,
"Cowpea, Red, seeds, whole, raw",9.94,21.66,0.63,62.29,,,1.39,4.09,
"Kidney bean, Red, seeds, whole, raw",9.39,23.83,1.5,60.14,,,1.29,3.85,
"Cowpea, var. Adzuki, Maroon, seeds, raw",,28.0462,1.876,56.749,,,3.4706,3.6582,
"Cowpea, var. New Era, Dark brown, seeds, raw",,30.2203,1.4608,54.5061,,,3.0129,2.0999,
"Cowpea, var. Nig. A95, White, seeds, raw",,24.881,1.7005,57.01150000000001,,,3.222,2.7745,
"Cowpea, var. Farin Juda C, Cream with mottled brown back, seeds, raw",,28.0275,2.035,56.3325,,,3.2375,2.8675,
"Cowpea, var. West bred, Cream, seeds, raw",,23.3748,1.5402,59.9772,,,2.718,2.9898,
"Cowpea, var. Nig. B4, Brown, seeds, raw",,25.665,1.8585,56.463,,,1.77,2.7435,
"Cowpea, var. Mala, Cream, seeds, raw",,23.706,1.756,55.8408,,,3.424199999999999,3.1608,
"Cowpea, var. Nig. A104, White, seeds, raw",,22.9941,1.762,57.79359999999999,,,2.5549,2.9954,
"Cowpea, var. Nig. B7, Brown, seeds, raw",,25.3851,1.794,57.0492,,,1.8837,3.8571,
"Cowpea, var. Prima, Cream, seeds, raw",,23.161,2.0976,57.9462,,,1.4858,2.622,
"Cowpea, var. Kano 2479, White, seeds, raw",,24.9606,1.323,54.77220000000001,,,3.1752,3.969,
"Cowpea, var. Kano 1696, White, seeds, raw",,25.6082,1.4858,53.2266,,,2.7968,4.2826,
"Cowpea, var. Line 7, Cream, seeds, raw",,26.2735,1.2155,58.99850000000001,,,3.2725,3.8335,
"Cowpea, var. Anna, White, seeds, raw",,27.4122,1.3095,51.0705,,,2.9682,4.6269,
"Cowpea, var. Ima, Cream, seeds, raw",,23.6016,1.6986,56.76900000000001,,,2.7714,4.6488,
"Cowpea, var. Kudi, White, seeds, raw",,23.8656,1.8984,58.48880000000001,,,2.8928,3.2544,
"Cowpea, var. Ayi, Cream, seeds, raw",,24.728,1.672,55.528,,,2.992,3.256,
"Cowpea, var. Ife, Brown, seeds, raw",,24.66,1.8,57.15,,,2.7,3.15,
"Cowpea, var. FARV 13, Dark Marron, seeds, raw",,22.1154,1.6182,59.6936,,,2.4273,3.9556,
"Cowpea, var. TVu 4557, Cream, seeds, raw",,23.9766,1.706199999999999,57.023,,,3.5022,3.6818,
"Cowpea, var. Kannanado, White, seeds, raw",7.99,18.254784,3.183546,56.383728,,,1.858602,3.109938,
"Cowpea, var. Dan Borno, Brown, seeds, raw",9.1,20.11617,3.42693,53.37648,,,1.20897,3.29058,
"Cowpea, var. IT93K-452-1, White, seeds, raw",7.83,20.839637,4.129216,52.195871,,,2.230514,3.760536,
"Cowpea, var. IT95K-499s-35, White, seeds, raw",6.8,22.25616,4.1474,52.27588000000001,,,2.02244,4.15672,
"Cowpea, var. IAR 48, Brown, seeds, raw",8.6,24.32154,3.64686,50.13290000000001,,,1.26132,3.50976,
"Great Northern beans, raw",10.65,19.58,,,2.9,22.8,,3.93,
"Kidney beans, raw",10.75,20.73,,,3.5,21.1,,3.55,
"Common bean, Black, raw",7.36,21.52,,,3.2,21.6,,4.34,
"Common bean, Yellow, raw",11.39,18.07,,,3.3,18.6,,3.85,
"Common bean, Red, small, raw",9.54,20.87,,,2.7,22.6,,3.9,
"Common bean, Pinto, raw",10.86,18.75,,,2.5,20.4,,3.9,
"Common bean, Navy, raw",12.01,20.1,,,2.2,17.5,,3.93,
"Green gram, Malviya-12, seeds, raw",13.39,21.0,,53.97,,,6.45,3.99,
"V. aconitifolia, seeds, raw",6.54,21.40234,3.299138,61.935942,,,4.177662,2.644918,
"V. vexillata, seeds, raw",10.11,22.005072,1.420262,60.43304700000001,,,3.200084,2.831535,
"Lentil, var. Blaze, Red, seeds, whole, raw",10.86,26.180418,0.374388,,,9.769744,,2.103704,
"Lentil, var. Laird, Green, seeds, whole, raw",11.75,23.465675,0.661875,,,8.551425,,2.038575,
"Cowpea, var. CS-46, Brown, seeds, raw",13.2,24.6,1.81,,7.7,,4.95,3.44,
"Cowpea, var. CS-88, Brown, seeds, raw",10.95,20.07,1.96,,6.47,,4.27,3.59,
"Cowpea, var. Cherodhi, Brown, seeds, raw",11.07,22.66,1.86,,7.69,,4.6,3.62,
"Cowpea, var. GC-89691, Brown, seeds, raw",13.0,23.04,1.77,,8.24,,4.34,3.65,
"Chickpea, Desi, 'Amethyst', seeds, whole, raw",10.9,14.00652,,,4.12533,,,3.27888,
"Chickpea, Desi, 90101-57Q, seeds, whole, raw",9.41,17.628814,,,3.71419,,,3.161591,
"Chickpea, Desi, 9105-33N, seeds, whole, raw",11.17,18.183501,,,4.112829,,,3.055752,
"Chickpea, Kabuli, 'Bumper', seeds, whole, raw",10.05,18.42176,,,4.488505,,,3.40011,
"Faba bean, 'Alen', seeds, raw",,25.9578,1.2236,,,,7.254200000000001,,
"Faba bean, 'Kamir', seeds, raw",,27.2646,1.1583,,,,7.127999999999999,,
"Faba bean, 'Martin', seeds, raw",,24.7638,1.341,,,,7.062600000000001,,
"Faba bean, 'Tibo', seeds, raw",,24.9288,1.1492,,,,6.541600000000001,,
"Common bean, var. Big Brown, seeds, raw",7.81,23.36,2.92,60.6,,,3.2,2.15,
"Common bean, var. Small Brown, seeds, raw",8.4,23.88,3.14,56.92,,,3.72,4.27,
"Common bean, var. Big Light Brown, seeds, raw",8.44,23.82,2.3,56.94,,,3.24,4.89,
"Common bean, var. Pecked White, seeds, raw",8.95,22.64,6.44,40.5,,,3.22,18.9,
"Common bean, var. Big White, seeds, raw",11.07,26.35,3.23,51.06,,,4.03,4.72,
"Common bean, var. Small White, seeds, raw",9.36,25.19,3.17,53.6,,,3.61,3.81,
"Common bean, var. French bean, seeds, raw",14.54,32.58,4.2,26.7,,,7.4,11.6,
"Black bean, var. Negro Querétaro, seeds, raw",8.35,23.36,5.07,,3.44,,2.12628,3.62,
"Cowpea, var. Asmerly, seeds, raw",10.67,19.974188,1.849131,61.601968,,,3.367741,2.536972,
"Kidney bean, var. Giza 3, White, seeds, raw",11.67,21.958838,1.625272,57.264339,,,3.453703,4.027848,
"Kidney bean, seeds, raw",10.2,25.25176,1.19434,56.72666,,,2.77482,3.85242,
"Pea, seeds, raw",8.11,19.866618,2.232927,62.806815,,,4.282074,2.701566,
"Common bean, var. Sinaloa, seeds, raw",9.6,22.20224,1.37408,58.76904,,,3.977600000000001,4.07704,
"Common bean, var. Azufrado Higuera, seeds, raw",10.0,22.689,1.413,57.68999999999999,,,4.392,3.816,
"Common bean, var. Regional 87, seeds, raw",9.0,22.3587,1.365,59.54130000000001,,,3.822,3.913,
"Common bean, var. Noroeste T-7, seeds, raw",9.0,20.9482,1.1557,61.2157,,,3.9403,3.7401,
"Common bean, var. Peruano, seeds, raw",11.5,19.3107,2.0355,58.47195,,,4.64625,4.0356,
"Common bean, var. Azufrado Pacífico, seeds, raw",11.0,21.7605,1.335,56.9155,,,4.9395,4.0495,
"Common bean, var. Pimono 78, seeds, raw",10.0,23.796,0.8909999999999999,55.71,,,5.688000000000001,3.915,
"Common bean, var. Criollo Don Carlos, seeds, raw",10.4,20.8768,1.73824,58.07872,,,5.151999999999999,3.75424,
"Common bean, var. San Francisco, seeds, raw",10.0,20.277,1.485,58.85100000000001,,,5.571000000000001,3.816,
"Common bean, var. Madero, seeds, raw",10.0,20.277,1.107,60.57,,,4.221,3.825,
"Common bean, var. MAM-38, seeds, raw",9.0,18.7551,1.8291,61.88910000000001,,,4.9049,3.6218,
"Common bean, var. Pinto Villa, seeds, raw",9.0,20.3476,1.2012,61.0792,,,5.096,3.276,
"Common bean, var. V-8025, seeds, raw",9.6,19.3456,1.4464,59.95327999999999,,,5.469200000000001,4.18552,
"Common bean, var. Azufrado Tapatio, seeds, raw",12.0,25.3176,1.1968,52.2896,,,5.579199999999999,3.6168,
"Common bean, Brown, PI-163579, seeds, raw",12.6,19.228,0.8740000000000001,,6.9046,,,3.4086,
"Common bean, Light brown, PI-169735, seeds, raw",9.5,19.6385,1.448,,6.516,,,3.801,
"Common bean, Purple with tan speckles, PI-171790, seeds, raw",10.2,21.4622,1.1674,,11.9434,,,2.3348,
"Common bean, Solid tan (brown), PI-176684, seeds, raw",11.5,12.4785,0.9735,,12.8325,,,3.717,
"Common bean, Solid black, PI-201374, seeds, raw",13.3,16.473,1.2138,,12.2247,,,3.7281,
"Common bean, Solid black, PI-310711, seeds, raw",12.1,20.9202,1.2306,,6.328800000000001,,,1.8459,
"Common bean, Solid black, PI-345576, seeds, raw",11.1,28.9814,0.889,,8.0899,,,3.733800000000001,
"Common bean, Solid tan (brown), PI-370569, seeds, raw",9.9,23.6963,1.4416,,20.5428,,,1.802,
"Common bean, Solid tan, PI-379435, seeds, raw",10.7,18.0386,1.1609,,12.5913,,,1.6967,
"Common bean, Beige, PI-414831, seeds, raw",10.1,19.1487,1.1687,,18.0699,,,3.596,
"Common bean, Light brown with dark stripes, PI-176712, seeds, raw",12.0,19.536,1.056,,6.864,,,2.816,
"Common bean, Brown with purple stripes, PI-177761, seeds, raw",12.4,19.0092,0.9636,,5.1684,,,3.4164,
"Common bean, Tan with purple speckles, PI-177763, seeds, raw",10.3,21.1692,0.9867,,5.830500000000001,,,3.588,
"Common bean, Tan with dark speckles, PI-205211, seeds, raw",12.6,19.3154,0.9614,,7.166799999999999,,,3.496,
"Common bean, Light brown, PI-206003, seeds, raw",7.7,25.4748,1.4768,,7.2917,,,4.5227,
"Common bean, Brown, tan and Mahogany, PI-206971, seeds, raw",10.3,17.4018,4.7541,,13.2756,,,1.0764,
"Common bean, White with purple speckles, PI-206982, seeds, raw",10.8,21.2296,0.9812,,7.046800000000001,,,3.6572,
"Common bean, Light brown, PI-370581, seeds, raw",10.3,21.7074,0.897,,9.1494,,,3.4983,
"Common bean, Brown, PI-379433, seeds, raw",12.4,21.1116,0.7884,,6.7452,,,3.8544,
"Common bean, Solid white, PI-379502, seeds, raw",11.3,21.3767,1.4192,,18.0948,,,3.548,
"Common bean, Tan, PI-415915, seeds, raw",11.3,21.9089,1.774,,13.2163,,,3.902800000000001,
"Common bean, Solid white, BBL290, seeds, raw",8.8,25.1712,0.912,,5.654400000000001,,,4.2864,
"Common bean, Solid black, PI-189568, seeds, raw",14.8,22.7484,0.9372,,9.372,,,3.9192,
"Common bean, Tan with purple speckles, PI-193572, seeds, raw",9.3,22.2215,1.995400000000001,,11.0654,,,1.7233,
"Common bean, Solid white, PI-206970, seeds, raw",13.6,19.2672,1.2096,,12.2688,,,3.3696,
"Common bean, Light purple, P1-313667, seeds, raw",10.7,19.3781,1.0716,,10.8946,,,4.0185,
"Common bean, Dark brown, PI-361321, seeds, raw",10.5,19.4215,0.9845,,12.2615,,,3.401,
"Common bean, Solid black, PI-368752, seeds, raw",12.2,19.8428,0.878,,10.7116,,,3.8632,
"Common bean, Light brown, PI-376211, seeds, raw",11.0,24.208,0.89,,9.434,,,2.047,
"Common bean, Solid white, PI-379450, seeds, raw",11.7,19.0728,1.5011,,5.6512,,,1.8543,
"Common bean, Solid white, P1-379451, seeds, raw",9.6,18.8936,1.0848,,10.4864,,,3.977600000000001,
"Common bean, Solid white, P1-416289, seeds, raw",11.8,23.7258,2.4696,,9.4374,,,3.4398,
"Common bean, Solid white, PI-416496, seeds, raw",11.5,19.116,1.1505,,5.31,,,3.717,
"Common bean, Solid black, PI-416683, seeds, raw",8.6,22.85,1.2796,,5.6668,,,2.285,
"Kidney bean, Red with irregular strips, var. Pondo-6, seeds, raw",,20.165,1.295,63.085,,,3.7,4.254999999999999,
"Kidney bean, White, var. Yara-1, seeds, raw",,20.8992,1.772699999999999,62.511,,,4.198499999999999,3.9186,
"Lima bean, Red-brown, var. TPL 88, seeds, raw",,20.7675,1.1999,61.7487,,,4.9842,3.5997,
"Lima bean, White grey and black eyed, var. TPL 249, seeds, raw",,21.9936,2.4128,59.7632,,,4.175999999999999,4.4544,
"Pigeon pea, Ash grey and light brown-eyed, var. Ex-Ibadan, seeds, raw",,20.4268,2.5648,60.6392,,,4.3968,3.5724,
"Pigeon pea, Dark brown and black-eyed, var. TUc 5537-1, seeds, raw",,21.2245,2.244,62.458,,,4.114000000000001,3.4595,
"Jack bean, White and dark brown-eyed, seeds, raw",,24.8746,2.245,51.4554,,,8.531,2.694,
"Moth bean, seeds, whole, raw",10.0,22.7,,57.7,,,5.1,3.5,
"Pigeon pea, seeds, whole, raw",10.0,21.3,,54.8,,,8.2,4.5,
"Lupine, 'Lublanc', seeds, raw",,34.4277,6.32574,,,,13.3419,4.03989,
"Lupine, 'Lublanc', seeds, raw",,41.6328,9.08435,,,,9.13,4.1998,
"Lupine, 'Lublanc', seeds, raw",,38.1546,7.865440000000001,,,,11.726,3.70722,
"Lupine, 'Lutteur', seeds, raw",,33.28789999999999,5.403390000000001,,,,12.1647,3.95117,
"Lupine, 'Lutteur', seeds, raw",,37.6176,9.7732,,,,10.5108,3.69722,
"Lupine, 'Lutteur', seeds, raw",,31.4168,9.261599999999998,,,,12.712,3.33236,
