Water,Nitrogen,Ash,"Carbohydrate, by summation","Carbohydrate, by difference",Total Sugars,Protein,Total lipid (fat),"Fiber, total dietary",Energy,Food Product,Side Stream
58.7,1.18,1.97,13.9,14.9,,7.35,17.1,5.4,960.0,"Hummus, commercial","HUMMUS, SABRA CLASSIC"
92.5,0.13,0.56,,5.51,,0.83,0.63,2.1,113.0,"Tomatoes, grape, raw","TOMATOES, GRAPE"
93.6,0.17,0.89,,4.11,,1.04,0.39,,86.0,"Beans, snap, green, canned, regular pack, drained solids","BEANS, SNAP, CANNED, DRAINED, GREAT VALUE"
2.2,3.94,3.47,,16.2,,20.4,57.8,11.0,2590.0,"Nuts, almonds, dry roasted, with salt added","ALMONDS, DRY ROASTED, SALTED, STORE BRAND"
89.6,0.47,1.54,,4.42,,2.92,1.49,4.1,148.0,"Kale, raw","KALE, FRESH, UNPREPARED"
43.4,0.74,1.44,34.0,36.3,,4.52,14.4,2.4,1210.0,"Onion rings, breaded, par fried, frozen, prepared, heated in oven","Onion rings, frozen, oven-heated, Store brand/other (AL,MI) - CY1205E"
94.7,0.08,2.44,,1.99,,0.48,0.43,1.0,50.0,"Pickles, cucumber, dill or kosher dill","Pickles, kosher dill, spears, VLASIC (IN,NY) - CY120OT"
90.9,0.09,0.29,,7.59,,0.55,0.7,0.2,157.0,"Grapefruit juice, white, canned or bottled, unsweetened","GRAPEFRUIT JUICE, WHITE, SHELF STABLE, STORE BRAND"
88.3,0.15,0.43,9.87,10.1,,0.91,0.27,1.5,174.0,"Peaches, yellow, raw","Peaches, raw, Region 2, C0009D, Pure Composite"
1.5,3.96,4.3,14.9,17.1,,21.0,56.1,10.3,2560.0,"Seeds, sunflower seed kernels, dry roasted, with salt added","SUNFLOWER SEEDS, DRY ROASTED, SALTED, STORE/OTHER"
89.8,0.47,0.73,,5.3,,2.94,1.21,,151.0,"Kale, frozen, cooked, boiled, drained, without salt","KALE, FROZEN, COOKED"
83.7,0.68,3.37,6.39,5.3,,4.25,3.38,4.3,254.0,"Mustard, prepared, yellow","Mustard, yellow, store brand, KROGER (IN1,MI1) - CY120Q4"
83.9,0.17,0.63,12.0,14.0,,1.06,0.44,3.0,241.0,"Kiwifruit, green, raw","Kiwi, Region 3, Pure Composite, CY0100W"
89.0,0.17,0.48,9.42,9.18,,1.06,0.28,1.5,163.0,"Nectarines, raw","Nectarines, Raw, Pass 2, Region 3, Pure Composite, CY010G6"
76.7,0.18,4.29,4.32,4.96,,1.15,12.9,4.0,543.0,"Olives, green, Manzanilla, stuffed with pimiento","OLIVES, GREEN MANZANILLA STUFFED WITH PIMENTOS, MARIO"
94.6,0.14,0.74,,3.32,,0.84,0.5,,76.0,"Tomatoes, canned, red, ripe, diced","Tomatoes, diced, canned, STORE BRAND, GREAT VALUE & S&W PREMIUM (AL, CA1) -  CY120AJ"
90.1,0.13,0.72,7.79,7.92,,0.81,0.47,3.2,153.0,"Carrots, frozen, unprepared","Carrots, whole, frozen, unprepared, mixed composite, C98197"
30.0,0.53,1.86,62.8,63.9,,3.3,0.92,9.8,1040.0,"Figs, dried, uncooked","Figs, Pass 2, Region 1, Mixed Composite, CY010GQ"
94.7,0.2,0.55,3.0,3.24,,1.24,0.26,1.8,70.0,"Lettuce, cos or romaine, raw","Romaine Lettuce, Pass 2, Pure Composite, CY01083"
90.2,0.13,0.63,8.69,8.16,,0.82,0.18,0.8,141.0,"Melons, cantaloupe, raw","Cantaloupe, raw, Region 3, C0009Q, Pure Composite"
