pmid,publication_year,authors,title,abstract,residue_type,residue_origin,frap_value,frap_units,search_query
40558944,2025,"Campos, Aline D O; Wahalathanthrige, Hashini J; Russell, Shane; Harrison, Mark D; Strong, Peter James",Conversion of Soluble Compounds in Distillery Wastewater into Fungal Biomass and Metabolites Using Australian <i>Ganoderma</i> Isolates.,"Stillage is an acidic residue from ethanol production that has a high carbon load. Here, <i>Ganoderma</i> isolates were assessed for the treatment of rum stillage while producing biomass and associated metabolites. Isolates grew in 25% raw stillage, removing up to 73% of soluble organic carbon, 77% soluble nitrogen, and 74% phenolic compounds. Isolate G2 demonstrated faster removal of organic carbon and nitrogen. Biomass and metabolite production were benchmarked against a nutrient medium. In stillage, maximum values of the following were obtained: 8.2 g·L<sup>-1</sup> biomass; 52.8% crude protein; 22.1 mg·g<sup>-1</sup> extractable protein; antioxidants of 17.2 mg TE·g<sup>-1</sup> (2,2'-azino-di-(3-ethylbenzothiazoline-6-sulfonic acid), ABTS) and 16.6 µmol Fe<sup>2+</sup>·g<sup>-1</sup> (ferric reducing antioxidant power, FRAP); 2.9 mg GAE·g<sup>-1</sup> phenolic compounds (gallic acid equivalents); 1.2% lipids; and 11% β-glucans. In the nutrient medium, the following were obtained: 6.9 g·L<sup>-1</sup> biomass; 56.4% crude protein; 38.7 mg·g<sup>-1</sup> extractable protein; antioxidants of 24.9 mg TE·g<sup>-1</sup> (ABTS) and 25.9 µmol Fe<sup>2+</sup>·g<sup>-1</sup> (FRAP); 6.0 mg GAE·g<sup>-1</sup> phenolic compounds; 0.7% lipids; and 13% β-glucans. To our knowledge, this is the first report detailing the biomass metabolite content of <i>Ganoderma</i> mycelium using rum stillage. The production of edible biomass containing bioactive products demonstrates the potential of using <i>Ganoderma</i> strains to valorize this residue.",residue,,25.9,μmol Fe²⁺/g,
39614160,2024,"Abdella, Mohamed A A; Ibrahim, Gamil E",Application of statistical designs strategy to improve cellulase production using agro-waste residue by a novel isolate Bacillus licheniformis strain-MA1 and assessing the enzyme effect on apple juice quality.,"Cellulose is the major part of lignocellulosic biomass. It can be hydrolyzed into glucose units via specific enzymes called cellulases that have been applied in many commercial fields. There are several studies illustrate the influence of enzymes on apple juice clarification. However, to the best of our knowledge, the effect of microbial cellulase on volatile compounds of apple juice is not well known. The present study aimed to assess the effect of cellulase from a new bacterial isolate on the physicochemical properties of apple juice as well as volatile compounds. The hydrolysis of some polysaccharides (cellulose, hemicellulose, pectin) and polyphenols during apple juice production is necessary to reduce cloud sedimentation or color deterioration and increase the yield of juice. So, enzymes from new microbial isolates serve as processing aids to obtain clear juice with a high yield. Cellulase-producing bacterium was isolated, characterized and molecularly identified as Bacillus licheniformis strain-MA1 with an accession number of ON840115. Optimization of medium parameters was implemented using Plackett-Burman design (PBd) followed by Box-Behnken design (BBd) of response surface methodology (RSM). The PBd revealed the three most important (significant) variables including carboxymethyl cellulose (CMC), corn cob, and peptone that had positive impact on cellulase production. Additionally, using the agricultural residue (corn cob) by the bacterial strain as a carbon source helps in reducing the costs of enzyme production, recycling the by-products, and preserving the environment. The optimized medium using PBd and BBd enhanced cellulase production from B. licheniformis strain-MA1 by 6.8-fold. A remarkable increase was observed in juice yield in enzyme treated-juice sample (88.2 ± 0.15%) in comparison with control juice (75.4 ± 0.09%). The total phenolic contents in cloudy and clarified apple juices were 0.957 ± 0.09 and 0.412 ± 0.03 mg/mL, respectively. Also, DPPH and FRAP assays showed a remarkable increase in antioxidant activity (Low IC<sub>50</sub>) in the control sample compared to enzyme treatment. Twenty-seven volatile compounds were extracted using headspace solid-phase microextraction-gas and analysis was performed by GC-MS. The identified volatile constituents belonged to several chemical classes: 15 esters; 6 alcohols; 4 aldehydes and 2 acids. The predominant class in apple juice volatile fraction was esters with a sweet and fruity odor. The crude cellulase obtained from the novel bacterial isolate B. licheniformis strain-MA1 was successfully applied as a clarifying agent in apple juice.",residue,apple,0.03,mg/g,
39339535,2024,"Andrade, Amanda Cristina; Borsoi, Felipe Tecchio; Saliba, Ana Sofia Martelli Chaib; de Alencar, Severino Matias; Pastore, Glaucia Maria; Arruda, Henrique Silvano",Optimization of Ultrasonic-Assisted Extraction of Phenolic Compounds and Antioxidant Activity from Araticum Peel Using Response Surface Methodology.,"The peel represents a significant portion of the araticum fruit (about 40%), which becomes waste after its consumption or processing. Previous studies have shown that the araticum peel is rich in phenolic compounds; however, little is known about the ideal conditions for recovering these compounds. Therefore, response surface methodology, using a central composite rotatable design, was employed to optimize the extraction process to maximize the total phenolic compounds (TPCs) and enhance the Trolox equivalent antioxidant capacity (TEAC) from araticum peel. The variables optimized were ethanol concentration (EC; 20-80%, <i>v/v</i>), extraction time (ET; 5-45 min), and solid-solvent ratio (SSR; 10-100 mg/mL). Additionally, condensed tannins, antioxidant capacity against synthetic free radicals (TEAC and FRAP) and reactive oxygen species (ROS), and the phenolic compounds profile, were evaluated. Optimum extraction conditions were 50% (<i>v/v</i>) ethanol concentration, 5 min of extraction time, and 10 mg/mL solid-solvent ratio. Under these conditions, experimental TPCs and TEAC values were 70.16 mg GAE/g dw and 667.22 µmol TE/g dw, respectively, comparable with predicted models (68.47 mg GAE/g dw for TPCs and 677.04 µmol TE/g dw for TEAC). A high condensed tannins content (76.49 mg CE/g dw) was also observed and 12 phenolic compounds were identified, predominantly flavonoids (97.77%), including procyanidin B2, epicatechin, and catechin as the major compounds. Moreover, a potent antioxidant activity was observed against synthetic free radicals and ROS, especially in scavenging peroxyl and hydroxyl radicals. From this study, we obtained the ideal conditions for recovering phenolic compounds from araticum peel using a simple, fast, sustainable, and effective method, offering a promising opportunity for the management of this plant byproduct.",peel,,667.22,µmol te/g,
38231877,2023,"Ferreira, Joana; Tkacz, Karolina; Turkiewicz, Igor Piotr; Santos, Maria Isabel; Belas, Adriana; Lima, Ana; Wojdyło, Aneta; Sousa, Isabel",Influence of Particle Size and Extraction Methods on Phenolic Content and Biological Activities of Pear Pomace.,"The main goal of this research was to investigate how particle size influences the characteristics of pear (<i>Pyrus Communis</i> L.) pomace flour and to examine the impact of different pre-treatment methods on the phenolic content and associated bioactivities. Pear pomace flour was fractionated into different particle sizes, namely 1 mm, 710 µm, 180 µm, 75 µm and 53 µm. Then two extraction methods, namely maceration with methanol and two-step extraction with hexane via Soxhlet followed by ultrasound extraction with methanol, were tested. Total phenolic and total flavonoid contents ranged from 375.0 to 512.9 mg gallic acid/100 g DW and from 24.7 to 34.6 mg quercetin/100 g DW, respectively. Two-step extraction provided antioxidant activity up to 418.8 (in FRAP assay) and 340.0 mg Trolox/100 g DW (in DPPH assay). In order to explore various bioactive properties, this study assessed the inhibitory effects of enzymes, specifically α-amylase and β-glucosidase (associated with antidiabetic effects), as well as angiotensin-converting enzyme (linked to potential antihypertensive benefits). Additionally, the research investigated antibacterial potential against both Gram-negative (<i>E. coli</i>) and Gram-positive (<i>S. aureus</i>) bacteria, revealing significant results (<i>p</i> < 0.05), particularly in the case of the two-step extraction method. This investigation underscores the substantial value of certain food industry wastes, highlighting their potential as bioactive ingredients within the framework of a circular economy.",pomace,pear,340.0,mg Trolox/100g DW,
37691048,2023,"Aquino, Giovanna; Basilicata, Manuela Giovanna; Crescenzi, Carlo; Vestuto, Vincenzo; Salviati, Emanuela; Cerrato, Michele; Ciaglia, Tania; Sansone, Francesca; Pepe, Giacomo; Campiglia, Pietro",Optimization of microwave-assisted extraction of antioxidant compounds from spring onion leaves using Box-Behnken design.,"Many studies have explored the extraction of bioactive compounds from different onion solid wastes, such as bulb, skin, and peel. However, onion leaves have received limited attention despite their potential as a valuable source of nutraceutical compounds. This study aimed to valorise, for the first time, the agricultural waste in the form of spring onion leaves (CN, Cipollotto Nocerino) to obtain antioxidant-rich polyphenolic extracts. A Box-Behnken design (BBD) was used to assess the impact of microwave-assisted extraction (MAE) variables (temperature, time, extraction volume, and ethanol concentration) on total polyphenol content (TPC) measured by Folin-Ciocalteu method and the antioxidant power determined by FRAP assay. Response surface methodology (RSM) was applied, and regression equations, analysis of variance, and 3D response curves were developed. Our results highlighted that the TPC values range from 0.76 to 1.43 mg GAE g<sup>-1</sup> dw, while the FRAP values range from 8.25 to 14.80 mmol Fe(II)E g<sup>-1</sup> dw. The optimal extraction conditions predicted by the model were 60 °C, 22 min, ethanol concentration 51% (v/v), and solvent volume 11 mL. These conditions resulted in TPC and FRAP values of 1.35 mg GAE g<sup>-1</sup> dw and 14.02 mmol Fe(II)E g<sup>-1</sup> dw, respectively. Furthermore, the extract obtained under optimized conditions was characterized by UHPLC-ESI-Orbitrap-MS analysis. LC/MS-MS platform allowed us to tentatively identify various compounds belonging to the class of flavonoids, saponins, fatty acids, and lipids. Finally, the ability of CN optimal extract to inhibit the intracellular reactive oxygen species (ROS) release in a hepatocarcinoma cell line using an H<sub>2</sub>O<sub>2</sub>-induced oxidative stress model, was evaluated. The results highlighted the potential of CN extract as a valuable source of polyphenols with significant antioxidant properties, suitable for various applications in the food and pharmaceutical industries.",peel,,1.35,mg,
37669418,2024,"Tkaczewska, Joanna; Kulawik, Piotr; Jamróz, Ewelina; Čagalj, Martina; Matas, Roberta Frleta; Šimat, Vida",Valorisation of prawn/shrimp shell waste through the production of biologically active components for functional food purposes.,"The aim of the work was to develop a technology for using waste from prawn and shrimp processing as a source of active ingredients that could be used in the promotion of healthy foods. From fresh and freeze-dried prawn and shrimp shells, protein hydrolysates (carotenoproteins) were obtained using two different enzymes, Flavourzyme and Protamex. The obtained hydrolysates were characterised in terms of protein content, degree of hydrolysis, and antioxidant and antimicrobial activity. The hydrolysate with the best antioxidant properties (FRAP value of 2933.33 μmol L<sup>-1</sup> TE; ORAC value of 115.58 μmol L<sup>-1</sup> TE) was selected and tested for its possible use as a component of functional foods. Molecular weight distribution, amino acid profile and free amino acids, the solubility of the hydrolysate in different pH ranges as well as foaming ability were determined. It was found that this hydrolysate was characterised by an amino acid profile with high nutritional value, flavour enhancement properties and excellent solubility in a wide pH range (from 97.06% to 100%). Afterward, the possibility of using carotenoproteins from prawn waste as a component of an emulsion with furcellaran and a lipid preparation of astaxanthin, taken from post-hydrolysate production waste, was investigated. The obtained complexes were stable as proved by the measurement of zeta potential (ζ = -23.87 and -22.32 to -27.79 mV). It is possible to produce stable complexes of the hydrolysate with furcellaran and to emulsify a lipid preparation of astaxanthin, obtained from waste following production of the hydrolysate, in them. © 2023 Society of Chemical Industry.",shell,,2933.33,μmol,
37492768,2023,"Kumar, Dinesh; Ladaniya, M S; Gurjar, Manju; Mendke, Sachin; Kumar, Sunil; Ghosh, Dilip","Elucidation of flavanones, phenols and antioxidant capacity influenced by drying methods from physiologically dropped underutilized <i>Citrus grandis</i> fruits.","Nutritional content in citrus fruit is enormous. <i>Citrus grandis</i> (L.) Osbeck is underutilised citrus crop that receives little attention due to the lack of knowledge regarding its nutritional value. Citrus waste disposal poses a problem due to economic and environmental factors. The metabolites flavonoids, phenols and antioxidant capacity in the dropped fruits of the underutilised citrus species pomelo (<i>Citrus grandis</i> (L.) Osbeck) were examined. Hesperidin varied from 1.22 to 2.83% and 1.08 to 1.16% from 10 mm to 14 mm whereas naringin dominates in fruits measuring 10 mm and 12mm with 60.61%, 60.77%, and 47.76%, 45.87% in freeze dried (FD) and hot air oven dried (HAOD) samples. According to the results of the antioxidant assays, the highest concentrations of ABTS azino-bis (3-ethylbenzthiazoline-6-sulfonic acid) and DPPH (2, 2-diphenyl-1-picrylhydrazyl radical) were found in freeze dried samples, ranging from 9.679 to 10.416 mmol L<sup>-1</sup> Trolox and 14.825 to 16.432 mmol L<sup>-1</sup> Trolox, respectively. However, the Ferric Reducing Antioxidant Power (FRAP) assay revealed higher content in samples of both FD and HAOD that were 10mm in size (4.578 mmol L<sup>-1</sup> Trolox and 3.730 mmol L<sup>-1</sup> Trolox). Total phenol content was measured, and the highest concentrations were found in fruits with a diameter between 10 mm and 18 mm. It ranged from 48.479 to 54.498 mg GAE L<sup>-1</sup> in FD samples and from 45.757 to 51.159 mg GAE L<sup>-1</sup> in HAOD samples. The smallest fruits, or those that were still in the immature stage, had the highest content. It was found that when the immature dropped fruits were dried by HAOD, the content decreased. At p<0.01 and p<0.05, there was a significant positive correlation between the flavonoids, antioxidants, and total phenols. The results showed that the immature dropped immature fruits of lesser known underutilised citrus sp. <i>Citrus grandis</i> can act as potential source of flavonoids, total phenol concentration, and antioxidant potential. Freeze drying can be recommended to recover the most bioactive substances from physiologically dropped fruits of <i>Citrus grandis</i> for use in the pharmaceutical and nutraceutical sectors. This study will help in reducing the environmental impact caused due to citrus dropped fruits and its responsible management.",waste,citrus,10.416,mmol/g,
36671046,2023,"Lyu, Xiaoyan; Agar, Osman Tuncay; Barrow, Colin J; Dunshea, Frank R; Suleria, Hafiz A R","Phenolic Compounds Profiling and Their Antioxidant Capacity in the Peel, Pulp, and Seed of Australian Grown Avocado.","Avocados (<i>Persea americana</i> M.) are highly valued fruits consumed worldwide, and there are numerous commercially available varieties on the market. However, the high demand for fruit also results in increased food waste. Thus, this study was conducted for comprehensive profiling of polyphenols of Hass, Reed, and Wurtz avocados obtained from the Australian local market. Ripe Hass peel recorded the highest TPC (77.85 mg GAE/g), TTC (148.98 mg CE/g), DPPH (71.03 mg AAE/g), FRAP (3.05 mg AAE/g), RPA (24.45 mg AAE/g), and ABTS (75.77 mg AAE/g) values; unripe Hass peel recorded the highest TFC (3.44 mg QE/g); and Wurtz peel recorded the highest TAC (35.02 mg AAE/g). Correlation analysis revealed that TPC and TTC were significantly correlated with the antioxidant capacity of the extracts. A total of 348 polyphenols were screened in the peel. A total of 134 compounds including 36 phenolic acids, 70 flavonoids, 11 lignans, 2 stilbenes, and another 15 polyphenols, were characterised through LC-ESI-QTOF-MS/MS, where the majority were from peels and seeds of samples extract. Overall, the hierarchical heat map revealed that there were a significant amount of polyphenols in peels and seeds. Epicatechin, kaempferol, and protocatechuic acid showed higher concentrations in Reed pulp. Wurtz peel contains a higher concentration of hydroxybenzoic acid. Our results showed that avocado wastes have a considerable amount of polyphenols, exhibiting antioxidant activities. Each sample has its unique value proposition based on its phenolic profile. This study may increase confidence in utilising by-products and encourage further investigation into avocado by-products as nutraceuticals.",peel,avocado,3.05,mg aae/g,
35557671,2022,"Zhu, Zihan; Zhong, Biming; Yang, Zihong; Zhao, Wanrong; Shi, Linghong; Aziz, Ahsan; Rauf, Abdur; Aljohani, Abdullah S M; Alhumaydhi, Fahad A; Suleria, Hafiz Ansar Rasul",LC-ESI-QTOF-MS/MS Characterization and Estimation of the Antioxidant Potential of Phenolic Compounds from Different Parts of the Lotus (<i>Nelumbo nucifera</i>) Seed and Rhizome.,"Edible lotus (<i>Nelumbo nucifera</i> G.) is widely consumed in Asian countries and treated as a functional food and traditional medicinal herb due to its abundant bioactive compounds. Lotus rhizome peels, rhizome knots, and seed embryos are important byproducts and processing waste of edible lotus (<i>Nelumbo nucifera</i> G.) with commercial significance. Nevertheless, the comprehensive phenolic profiling of different parts of lotus is still scarce. Thus, this study aimed to review the phenolic contents and antioxidant potential in lotus seeds (embryo and cotyledon) and rhizomes (peel, knot, and pulp) grown in Australia. In the phenolic content and antioxidant potential estimation assays by comparing to the corresponding reference standards, the lotus seed embryo exhibited the highest total phenolic content (10.77 ± 0.66 mg GAE/g<sub>f.w.</sub>), total flavonoid content (1.61 ± 0.03 mg QE/g<sub>f.w.</sub>), 2,2-diphenyl-1-picrylhydrazyl (DPPH) scavenging activity (9.66 ± 0.10 mg AAE/g<sub>f.w.</sub>), 2,2-azino-bis-3-ethylbenzothiazoline-6-sulfonic acid (ABTS) scavenging activity (14.35 ± 0.20 mg AAE/g<sub>f.w.</sub>), and total antioxidant capacity (6.46 ± 0.30 mg AAE/g), while the highest value of ferric ion reducing antioxidant power (FRAP) activity and total tannin content was present in the lotus rhizome knot (2.30 ± 0.13 mg AAE/g<sub>f.w.</sub>). A total of 86 phenolic compounds were identified in five parts of lotus by liquid chromatography coupled with electrospray ionization quadrupole time-of-flight mass spectrometry (LC-ESI-QTOF-MS/MS), including phenolic acids (20), flavonoids (51), lignans (3), stilbenes (2), and other polyphenols (10). The most phenolic compounds, reaching up to 68%, were present in the lotus seed embryo (59). Furthermore, the lotus rhizome peel and lotus seed embryo exhibit significantly higher contents of selected polyphenols than other lotus parts according to high-performance liquid chromatography (HPLC) quantification analysis. The results highlighted that byproducts and processing waste of edible lotus are rich sources of phenolic compounds, which may be good candidates for further exploitation and utilization in food, animal feeding, and pharmaceutical industries.",peel,,0.13,mg aae/g,
33557299,2021,"Hong, Yili; Wang, Zening; Barrow, Colin J; Dunshea, Frank R; Suleria, Hafiz A R",High-Throughput Screening and Characterization of Phenolic Compounds in Stone Fruits Waste by LC-ESI-QTOF-MS/MS and Their Potential Antioxidant Activities.,"Stone fruits, including peach (<i>Prunus persica</i> L.), nectarine (<i>Prunus nucipersica</i> L.), plum (<i>Prunus domestica</i> L.) and apricot (<i>Prunus armeniaca</i> L.) are common commercial fruits in the market. However, a huge amount of stone fruits waste is produced throughout the food supply chain during picking, handling, processing, packaging, storage, transportation, retailing and final consumption. These stone fruits waste contain high phenolic content which are the main contributors to the antioxidant potential and associated health benefits. The antioxidant results showed that plum waste contained higher concentrations of total phenolic content (TPC) (0.94 ± 0.07 mg gallic acid equivalents (GAE)/g) and total flavonoid content (TFC) (0.34 ± 0.01 mg quercetin equivalents (QE)/g), while apricot waste contained a higher concentration of total tannin content (TTC) (0.19 ± 0.03 mg catechin equivalents (CE)/g) and DPPH activity (1.47 ± 0.12 mg ascorbic acid equivalents (AAE)/g). However, nectarine waste had higher antioxidant capacity in ferric reducing-antioxidant power (FRAP) (0.98 ± 0.02 mg AAE/g) and total antioxidant capacity (TAC) (0.91 ± 0.09 mg AAE/g) assays, while peach waste showed higher antioxidant capacity in 2,2'-azino-bis-(3-ethylbenzothiazoline-6-sulfonic acid (ABTS) assay (0.43 ± 0.09 mg AAE/g) as compared to other stone fruits waste. Qualitative and quantitative phenolic analysis of Australian grown stone fruits waste were conducted by liquid chromatography coupled with electrospray-ionization quadrupole time-of-flight mass spectrometry (LC-ESI-QTOF-MS/MS) and HPLC-photodiode array detection (PDA). The LC-ESI-QTOF-MS/MS result indicates that 59 phenolic compounds were tentatively characterized in peach (33 compounds), nectarine (28), plum (38) and apricot (23). The HPLC-PDA indicated that <i>p</i>-hydroxybenzoic acid (18.64 ± 1.30 mg/g) was detected to be the most dominant phenolic acid and quercetin (19.68 ± 1.38 mg/g) was the most significant flavonoid in stone fruits waste. Hence, it could be concluded that stone fruit waste contains various phenolic compounds and have antioxidant potential. The results could support the applications of these stone fruit wastes in other food, feed, nutraceutical and pharmaceutical industries.",waste,peach,0.02,mg aae/g,
