Food Product,Side Stream,Acid Detergent Fibre (ADF),Ash,Cellulose,Dry Matter,"Fibre, crude",Hemicellulose,Pectin,"Sugar, total"
Apple,Apple,83.0,713.0,47.0,202.0,5538.0,29.0,,
Apple,Apple cake,,476.0,,165.0,,,,
Apple,Apple juice,,,,,,,,97.0
Apple,Apple pomace,12835.0,1121.5,,16380.0,14089.5,86.0,2.0,
Apple,"Apple pomace, dried",605.0,2403.0,85.0,1001.0,7210.5,244.0,253.5,362.0
Apple,Apple waste,,208.0,,752.0,,,,
Apple,Pectin,,584.0,,,58.0,,,
Apricot,Apricot stones,,0.0,0.0,,,0.0,,
Argan,"Argan fruit pulp, dried",0.0,0.0,,0.0,0.0,,,
Argan,"Argan leaves, dried",0.0,0.0,,0.0,0.0,,,
Argan,Argan oil cake,0.0,0.0,,0.0,0.0,,,
Aubergine,Aubergine plant,,0.0,,,,,,
Banana,Banana,320.0,528.0,5706.0,392.0,265.0,210.0,,
Banana,Banana bunch,,1236.0,5105.0,,,,,
Banana,Banana flour,,36.0,,90.0,37.0,,,
Banana,Banana fruits,150.0,156.0,,546.0,98.0,,,
Banana,"Banana fruits, dried",127.0,89.0,,1820.0,41.0,,,
Banana,"Banana fruits, ensiled",216.0,102.0,,508.0,105.0,,,
Banana,Banana leaves,35.0,,,15.0,,,,
Banana,"Banana leaves, dried",40.0,89.0,,943.0,279.0,,,
Banana,Banana peel,253.0,255.0,182.0,379.0,114.0,105.0,,
Banana,Banana pintoza,,,4324.0,,,178.0,,
Banana,Banana pseudo stems,35.0,,,6.5,,,,
Banana,Banana shoots,,162.0,,,482.0,,,
Banana,Banana stalks,453.0,154.0,,72.0,289.0,,,
Bean,Bean plant,,0.0,,,,,,
Cabbage,Abyssinian cabbage,,713.0,,,,,,
Cabbage,Cabbage,,3565.0,,,19039.0,,,
Cabbage,Cabbage leaves,452.0,316.0,274.0,134.0,,222.0,,
Cabbage,Cabbage meal,,,,940.0,,,,
Carrot,Carrot,115.0,248.0,189.0,1525.0,19.0,98.0,,
Carrot,Carrot pomace,,,,,,,,643.0
Carrot,Carrot pulp,63.0,159.0,306.0,204.0,19.0,8.0,,
Carrot,Carrot tops,23.0,207.0,,180.0,202.0,,,
Carrot,"Carrot, dried",124.0,64.0,,90.0,93.0,,,
Cassava,Cassava meal,,0.0,,0.0,0.0,,,
Cassava,Cassava starch,0.0,0.0,,0.0,,,,
Cauliflower,Cauliflower leaves,0.0,0.0,0.0,0.0,,0.0,,
Cherry,Cherry pits,,0.0,,,,,,
"Citrus, unspecified",Citrus,74.0,31.0,,158.0,29.0,,195.0,
"Citrus, unspecified","Citrus meal, dried",,,,910.0,,,,
"Citrus, unspecified",Citrus molasses,0.0,140.0,,2597.0,0.0,,,62.5
"Citrus, unspecified",Citrus pulp,3567.0,1837.0,,521.0,,,,
"Citrus, unspecified",Citrus pulp silage,200.0,,,630.0,,,,
"Citrus, unspecified","Citrus pulp, dried",1043.0,202.0,,6339.0,393.0,,223.0,
"Citrus, unspecified",Citrus seed meal,,78.0,,1829.0,174.0,,,
"Citrus, unspecified","Citrus, dried",,55.0,,,114.0,,,
Coconut,Char from coconut shell,,0.0,,,,,,
Coconut,Coconut cake,,,,,0.0,,,
Coconut,Coconut cake/expeller,,,,0.0,,,,
Coconut,Coconut coir dust,,0.0,,0.0,0.0,,,
Coconut,Coconut copra,0.0,0.0,,0.0,0.0,,,
Coconut,Coconut fibre,,0.0,0.0,,,0.0,0.0,
Coconut,Coconut fibre dust,,0.0,,,,,,
Coconut,Coconut husk,,,0.0,,,0.0,0.0,
Coconut,Coconut meal,0.0,0.0,,0.0,0.0,,,
Coconut,Coconut pith,,,0.0,,,0.0,0.0,
Coconut,Coconut shell,,0.0,0.0,,,0.0,,
Coconut,Coconut water,,0.0,,0.0,0.0,,,
Corn,Corn bran,,0.0,0.0,,,0.0,,
Corn,Corn gluten meal,,0.0,,0.0,0.0,,,
Corn,Corn silage,,0.0,,0.0,,,,
Corn,Maize germ,0.0,0.0,,0.0,0.0,,,
Corn,Maize germ cake/expeller,,,,0.0,,,,
Corn,Maize germ meal,0.0,0.0,,0.0,0.0,,,
Corn,Maize gluten feed,,,,0.0,,,,
Corn,Maize starch,0.0,0.0,,0.0,0.0,,,
Corn,Maize strip waste,,,,0.0,,,,
Courgette,Courgette plant,,0.0,,,,,,
Cranberry,Cranberry pulp meal,0.0,0.0,,0.0,0.0,,,
Cucumber,Cucumber,25.0,2572.0,,37.0,,143.0,,
Cucumber,Cucumber peel,23.0,97.0,178.0,788.0,,142.0,,
Cucumber,Cucumber plant,,297.0,,,,,,
Date,Date palm,0.0,0.0,,0.0,0.0,,,
Date,Date palm flower stems,0.0,0.0,,0.0,0.0,,,
Date,Date palm fruits,0.0,0.0,,0.0,0.0,,,
Date,Date palm leaves,0.0,0.0,,0.0,0.0,,,
Date,"Date palm leaves, dried",0.0,0.0,,0.0,0.0,,,
Date,Date palm pedicels,0.0,0.0,,0.0,0.0,,,
Date,Date palm pits,0.0,0.0,,0.0,0.0,,,
Date,"Date palm, pulp",0.0,0.0,,0.0,0.0,,,
"Fruit and vegetables, unspecified","Market waste, fruit and vegetables",,0.0,,0.0,,,,
"Fruit and vegetables, unspecified",Pectin residue,,,0.0,,,,,
Grape,Char from grape residue,,239.0,,,,,,
Grape,Grape marc,1023.0,81.0,,1390.0,,,,
Grape,Grape marc and lees,487.0,,,531.0,,,,
