Food Product,Side Stream,Acid Detergent Fibre (ADF),Ash,Cellulose,Dry Matter,"Fibre, crude",Hemicellulose,Pectin,"Sugar, total"
Apple,Apple,8.2,3.7266666666666666,,10.333903333333334,186.70000000000002,,,
Apple,Apple cake,,2.38,,,,,,
Apple,Apple juice,,,,,,,,9.7
Apple,Apple pomace,1413.92375,98.4011111111111,,3025.2,356.2875,4.3,2.0,
Apple,"Apple pomace, dried",42.85,3.0975,8.5,,20.209999999999997,24.4,12.675,19.85
Apple,Apple waste,,2.08,,7400.0,,,,
Apple,Pectin,,3.19,,,5.8,,,
Apricot,Apricot stones,,0.19,30.0,,,28.0,,
Argan,"Argan fruit pulp, dried",15.6,6.6,,,6.7,,,
Argan,"Argan leaves, dried",19.1,7.9,,,5.9,,,
Argan,Argan oil cake,10.9,5.1,,,13.5,,,
Aubergine,Aubergine plant,,2.15,,,,,,
Banana,Banana,18.25,6.079999999999999,50.15,12.00064,15.05,0.77,,
Banana,Banana bunch,,12.36,51.05,,,,,
Banana,Banana flour,,3.6,,,3.7,,,
Banana,Banana fruits,7.5,4.575,,,2.4499999999999997,,,
Banana,"Banana fruits, dried",6.35,4.449999999999999,,,2.95,,,
Banana,"Banana fruits, ensiled",10.8,5.1,,,5.25,,,
Banana,Banana leaves,35.0,,,,,,,
Banana,"Banana leaves, dried",40.0,8.9,,,27.9,,,
Banana,Banana peel,25.3,12.1,18.2,94.0,12.45,10.5,,
Banana,Banana pintoza,,,43.24,,,17.8,,
Banana,Banana pseudo stems,35.0,,,,,,,
Banana,Banana shoots,,16.2,,,48.2,,,
Banana,Banana stalks,45.3,15.4,,,28.9,,,
Bean,Bean plant,,2.23,,,,,,
Cabbage,Abyssinian cabbage,,7.13,,,,,,
Cabbage,Cabbage,,17.825,,,1903.8999999999999,,,
Cabbage,Cabbage leaves,22.6,15.8,13.7,100.0,,11.1,,
Cabbage,Cabbage meal,,,,9400.0,,,,
Carrot,Carrot,8.95,8.45,271.3333333333333,50.500675,9.5,1.0,,
Carrot,Carrot pomace,,,,,,,,64.3
Carrot,Carrot pulp,21.0,8.0,15.3,95.0,19.0,4.0,,
Carrot,Carrot tops,23.0,16.8,,,17.233333333333334,,,
Carrot,"Carrot, dried",12.4,6.4,,,9.3,,,
Cassava,Cassava meal,,150.0,,8760.0,1340.0,,,
Cassava,Cassava starch,0.1,0.2,,,,,,
Cauliflower,Cauliflower leaves,19.4,13.7,15.2,130.0,,8.1,,
Cherry,Cherry pits,,0.925,,,,,,
"Citrus, unspecified",Citrus,7.4,3.1,,,2.9,,19.5,
"Citrus, unspecified","Citrus meal, dried",,,,9100.0,,,,
"Citrus, unspecified",Citrus molasses,0.0,7.066666666666666,,3443.8571428571427,0.0,,,62.5
"Citrus, unspecified",Citrus pulp,413.3775,6.1,,1736.6666666666667,,,,
"Citrus, unspecified",Citrus pulp silage,2000.0,,,2100.0,,,,
"Citrus, unspecified","Citrus pulp, dried",1454.2333333333333,6.625,,8870.0,12.75,,2230.0,
"Citrus, unspecified",Citrus seed meal,,7.05,,4442.5,8.7,,,
"Citrus, unspecified","Citrus, dried",,5.5,,,11.4,,,
Coconut,Char from coconut shell,,2.9,,,,,,
Coconut,Coconut cake,,,,,12.0,,,
Coconut,Coconut cake/expeller,,,,9000.0,,,,
